phenotype,rank,task,episode,init_state_id,flow_noise_seed,primary_behavior,severity_metric,severity_value
gripper_cycling,7,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,380,47,1004,regrasp_or_drop,gripper_flip_rate,0.5185185185185185
gripper_cycling,8,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,381,47,1005,gripper_cycling,gripper_flip_rate,0.5185185185185185
goal_regression,1,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,298,37,1002,subtask_undo,goal_regression_m,0.380465977258543
goal_regression,2,libero_goal/put_the_bowl_on_top_of_the_cabinet,24,3,1000,regrasp_or_drop,goal_regression_m,0.1807756400556806
goal_regression,3,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,299,37,1003,subtask_undo,goal_regression_m,0.1636032693915025
goal_regression,4,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,210,26,1002,goal_regression,goal_regression_m,0.1569044661387126
goal_regression,5,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,214,26,1006,subtask_undo,goal_regression_m,0.1554847887526828
goal_regression,6,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,241,30,1001,subtask_undo,goal_regression_m,0.1517445999492503
goal_regression,7,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,363,45,1003,regrasp_or_drop,goal_regression_m,0.1490465127717693
goal_regression,8,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,99,12,1003,subtask_undo,goal_regression_m,0.1473830023836495
goal_approach_leave,1,libero_goal/put_the_bowl_on_the_plate,59,7,1003,goal_approach_leave,goal_approach_exit_per_target,1.0
goal_approach_leave,2,libero_goal/put_the_bowl_on_the_plate,279,34,1007,goal_approach_leave,goal_approach_exit_per_target,1.0
goal_approach_leave,3,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,131,16,1003,goal_approach_leave,goal_approach_exit_per_target,1.0
goal_approach_leave,4,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,119,14,1007,goal_approach_leave,goal_approach_exit_per_target,1.0
goal_approach_leave,5,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,99,12,1003,subtask_undo,goal_approach_exit_per_target,0.5
goal_approach_leave,6,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,298,37,1002,subtask_undo,goal_approach_exit_per_target,0.5
goal_approach_leave,7,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,34,4,1002,subtask_undo,goal_approach_exit_per_target,0.5
goal_approach_leave,8,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,214,26,1006,subtask_undo,goal_approach_exit_per_target,0.5
subtask_undo,1,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,34,4,1002,subtask_undo,subtask_undo_count,2.0
subtask_undo,2,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,186,23,1002,subtask_undo,subtask_undo_count,2.0
subtask_undo,3,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,214,26,1006,subtask_undo,subtask_undo_count,2.0
subtask_undo,4,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,220,27,1004,subtask_undo,subtask_undo_count,2.0
subtask_undo,5,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,222,27,1006,subtask_undo,subtask_undo_count,2.0
subtask_undo,6,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,241,30,1001,subtask_undo,subtask_undo_count,2.0
subtask_undo,7,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,299,37,1003,subtask_undo,subtask_undo_count,2.0
subtask_undo,8,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,13,1,1005,subtask_undo,subtask_undo_count,1.0
regrasp_or_drop,1,libero_object/pick_up_the_milk_and_place_it_in_the_basket,34,4,1002,regrasp_or_drop,offgoal_lift_loss_count,3.0
regrasp_or_drop,2,libero_goal/put_the_bowl_on_the_plate,63,7,1007,regrasp_or_drop,offgoal_lift_loss_count,2.0
regrasp_or_drop,3,libero_goal/put_the_bowl_on_the_plate,260,32,1004,regrasp_or_drop,offgoal_lift_loss_count,2.0
regrasp_or_drop,4,libero_goal/put_the_bowl_on_the_plate,262,32,1006,regrasp_or_drop,offgoal_lift_loss_count,2.0
regrasp_or_drop,5,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,333,41,1005,regrasp_or_drop,offgoal_lift_loss_count,2.0
regrasp_or_drop,6,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,49,6,1001,regrasp_or_drop,offgoal_lift_loss_count,2.0
regrasp_or_drop,7,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,167,20,1007,regrasp_or_drop,offgoal_lift_loss_count,2.0
regrasp_or_drop,8,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,174,21,1006,subtask_undo,offgoal_lift_loss_count,2.0
