global_row,source,episode,queries,method,first,max_score_error
15018,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate/right-50x8b-20260903,218,23,v82_reference,-1,7.3462724685668945e-06
15027,cache_new/HiMoE-VLA/libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate/right-50x8b-20260903,227,38,recovery_fixed,-1,2.9087066650390625e-05
15522,cache_new/HiMoE-VLA/libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/right-50x8-20260903,322,18,v82_reference,-1,6.9123925641179085e-06
15760,cache_new/HiMoE-VLA/libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/right-50x8b-20260903,160,45,v82_reference,28,7.009506225585938e-05
15763,cache_new/HiMoE-VLA/libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/right-50x8b-20260903,163,31,v82_reference,-1,3.4809112548828125e-05
15765,cache_new/HiMoE-VLA/libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/right-50x8b-20260903,165,41,v82_reference,30,2.1457672119140625e-05
15767,cache_new/HiMoE-VLA/libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/right-50x8b-20260903,167,44,v82_reference,43,4.100799560546875e-05
15916,cache_new/HiMoE-VLA/libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy/right-50x8b-20260903,316,23,v82_reference,21,7.62939453125e-06
16154,cache_new/HiMoE-VLA/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket/right-50x8-20260903,154,14,v82_reference,-1,9.5367431640625e-06
16464,cache_new/HiMoE-VLA/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket/right-50x8b-20260903,64,14,recovery_fixed,-1,1.0609626770019531e-05
16564,cache_new/HiMoE-VLA/libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket/right-50x8b-20260903,164,28,v82_reference,25,1.430511474609375e-05
17143,cache_new/HiMoE-VLA/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/right-50x8-20260903,343,12,v82_reference,-1,2.682209014892578e-06
17557,cache_new/HiMoE-VLA/libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket/right-50x8b-20260903,357,14,v82_reference,-1,2.9206275939941406e-06
17747,cache_new/HiMoE-VLA/libero_object/pick_up_the_butter_and_place_it_in_the_basket/right-50x8-20260903,147,15,v82_reference,-1,9.775161743164062e-06
18201,cache_new/HiMoE-VLA/libero_object/pick_up_the_butter_and_place_it_in_the_basket/right-50x8b-20260903,201,14,v82_reference,-1,7.3909759521484375e-06
18708,cache_new/HiMoE-VLA/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket/right-50x8-20260903,308,15,v82_reference,-1,6.198883056640625e-06
18975,cache_new/HiMoE-VLA/libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket/right-50x8b-20260903,175,16,v82_reference,-1,0.0
19421,cache_new/HiMoE-VLA/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket/right-50x8-20260903,221,14,v82_reference,-1,8.225440979003906e-06
19695,cache_new/HiMoE-VLA/libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket/right-50x8b-20260903,95,13,v82_reference,-1,7.361173629760742e-06
20099,cache_new/HiMoE-VLA/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket/right-50x8-20260903,99,14,v82_reference,-1,3.2186508178710938e-06
20702,cache_new/HiMoE-VLA/libero_object/pick_up_the_ketchup_and_place_it_in_the_basket/right-50x8b-20260903,302,15,v82_reference,-1,1.239776611328125e-05
20923,cache_new/HiMoE-VLA/libero_object/pick_up_the_milk_and_place_it_in_the_basket/right-50x8-20260903,123,12,v82_reference,-1,7.3909759521484375e-06
21221,cache_new/HiMoE-VLA/libero_object/pick_up_the_milk_and_place_it_in_the_basket/right-50x8b-20260903,21,14,v82_reference,-1,3.0994415283203125e-06
21705,cache_new/HiMoE-VLA/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket/right-50x8-20260903,105,13,v82_reference,-1,8.225440979003906e-06
22155,cache_new/HiMoE-VLA/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket/right-50x8b-20260903,155,23,v82_reference,18,5.245208740234375e-05
22381,cache_new/HiMoE-VLA/libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket/right-50x8b-20260903,381,12,v82_reference,-1,4.291534423828125e-06
22637,cache_new/HiMoE-VLA/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket/right-50x8-20260903,237,12,v82_reference,-1,3.5762786865234375e-06
22939,cache_new/HiMoE-VLA/libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket/right-50x8b-20260903,139,13,v82_reference,-1,4.589557647705078e-06
23477,cache_new/HiMoE-VLA/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket/right-50x8-20260903,277,12,v82_reference,-1,5.662441253662109e-06
23917,cache_new/HiMoE-VLA/libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket/right-50x8b-20260903,317,19,v82_reference,-1,2.5033950805664062e-06
24354,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate/right-50x8-20260903,354,8,v82_reference,-1,2.384185791015625e-07
24612,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate/right-50x8b-20260903,212,8,v82_reference,-1,1.0021030902862549e-06
24867,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate/right-50x8-20260903,67,10,v82_reference,-1,1.9669532775878906e-06
25364,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate/right-50x8b-20260903,164,10,v82_reference,-1,1.0728836059570312e-06
25589,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate/right-50x8b-20260903,389,22,recovery_fixed,21,4.76837158203125e-07
25873,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate/right-50x8-20260903,273,13,v82_reference,-1,4.6193599700927734e-07
26377,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate/right-50x8b-20260903,377,13,v82_reference,-1,3.5762786865234375e-07
26577,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate/right-50x8-20260903,177,10,v82_reference,-1,8.642673492431641e-07
27148,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate/right-50x8b-20260903,348,11,recovery_fixed,-1,4.76837158203125e-07
27387,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8-20260903,187,10,v82_reference,-1,5.960464477539063e-08
27759,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,159,10,v82_reference,-1,1.2814998626708984e-06
27774,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate/right-50x8b-20260903,174,22,v82_reference,17,1.430511474609375e-05
28018,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate/right-50x8-20260903,18,12,v82_reference,-1,1.5795230865478516e-06
28564,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate/right-50x8b-20260903,164,12,v82_reference,-1,1.043081283569336e-06
29121,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate/right-50x8-20260903,321,9,v82_reference,-1,9.238719940185547e-07
29532,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate/right-50x8b-20260903,332,9,v82_reference,-1,1.2759119272232056e-06
29849,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/right-50x8-20260903,249,10,v82_reference,-1,2.3096799850463867e-07
30202,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate/right-50x8b-20260903,202,9,v82_reference,-1,1.4901161193847656e-07
30584,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate/right-50x8-20260903,184,13,v82_reference,-1,3.4570693969726562e-06
31153,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate/right-50x8b-20260903,353,13,v82_reference,-1,2.2351741790771484e-06
31564,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate/right-50x8-20260903,364,13,v82_reference,-1,2.1457672119140625e-06
31931,cache_new/HiMoE-VLA/libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate/right-50x8b-20260903,331,12,v82_reference,-1,1.1920928955078125e-06
