fold,clusters,cluster,task,points
libero_goal_full_0,8,4,libero_goal/put_the_cream_cheese_in_the_bowl,43
libero_goal_full_0,8,4,libero_goal/turn_on_the_stove,93
libero_goal_full_0,8,5,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,101
libero_goal_full_0,8,5,libero_goal/push_the_plate_to_the_front_of_the_stove,179
libero_goal_full_0,8,5,libero_goal/put_the_bowl_on_the_stove,147
libero_goal_full_0,8,5,libero_goal/put_the_bowl_on_top_of_the_cabinet,262
libero_goal_full_0,8,6,libero_goal/push_the_plate_to_the_front_of_the_stove,331
libero_goal_full_0,8,7,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4
libero_goal_full_0,8,7,libero_goal/push_the_plate_to_the_front_of_the_stove,16
libero_goal_full_0,8,7,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,8,7,libero_goal/put_the_cream_cheese_in_the_bowl,380
libero_goal_full_0,16,0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,226
libero_goal_full_0,16,0,libero_goal/push_the_plate_to_the_front_of_the_stove,23
libero_goal_full_0,16,0,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,16,0,libero_goal/put_the_bowl_on_the_stove,6
libero_goal_full_0,16,0,libero_goal/put_the_bowl_on_top_of_the_cabinet,25
libero_goal_full_0,16,0,libero_goal/turn_on_the_stove,27
libero_goal_full_0,16,1,libero_goal/push_the_plate_to_the_front_of_the_stove,289
libero_goal_full_0,16,2,libero_goal/push_the_plate_to_the_front_of_the_stove,197
libero_goal_full_0,16,3,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,64
libero_goal_full_0,16,3,libero_goal/push_the_plate_to_the_front_of_the_stove,29
libero_goal_full_0,16,3,libero_goal/put_the_bowl_on_the_plate,4
libero_goal_full_0,16,3,libero_goal/put_the_cream_cheese_in_the_bowl,6
libero_goal_full_0,16,3,libero_goal/turn_on_the_stove,18
libero_goal_full_0,16,4,libero_goal/push_the_plate_to_the_front_of_the_stove,8
libero_goal_full_0,16,4,libero_goal/put_the_cream_cheese_in_the_bowl,214
libero_goal_full_0,16,5,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,9
libero_goal_full_0,16,5,libero_goal/push_the_plate_to_the_front_of_the_stove,41
libero_goal_full_0,16,5,libero_goal/put_the_bowl_on_the_stove,37
libero_goal_full_0,16,5,libero_goal/put_the_bowl_on_top_of_the_cabinet,196
libero_goal_full_0,16,6,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,16
libero_goal_full_0,16,6,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,16,6,libero_goal/put_the_bowl_on_the_plate,166
libero_goal_full_0,16,6,libero_goal/put_the_bowl_on_the_stove,15
libero_goal_full_0,16,6,libero_goal/put_the_cream_cheese_in_the_bowl,35
libero_goal_full_0,16,6,libero_goal/turn_on_the_stove,65
libero_goal_full_0,16,7,libero_goal/push_the_plate_to_the_front_of_the_stove,253
libero_goal_full_0,16,8,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26
libero_goal_full_0,16,8,libero_goal/push_the_plate_to_the_front_of_the_stove,257
libero_goal_full_0,16,8,libero_goal/put_the_bowl_on_top_of_the_cabinet,8
libero_goal_full_0,16,9,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10
libero_goal_full_0,16,9,libero_goal/push_the_plate_to_the_front_of_the_stove,10
libero_goal_full_0,16,9,libero_goal/put_the_bowl_on_the_stove,2
libero_goal_full_0,16,9,libero_goal/put_the_cream_cheese_in_the_bowl,202
libero_goal_full_0,16,9,libero_goal/turn_on_the_stove,7
libero_goal_full_0,16,10,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,381
libero_goal_full_0,16,10,libero_goal/push_the_plate_to_the_front_of_the_stove,5
libero_goal_full_0,16,10,libero_goal/put_the_bowl_on_the_stove,7
libero_goal_full_0,16,10,libero_goal/put_the_cream_cheese_in_the_bowl,1
libero_goal_full_0,16,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,212
libero_goal_full_0,16,11,libero_goal/push_the_plate_to_the_front_of_the_stove,2
libero_goal_full_0,16,11,libero_goal/put_the_bowl_on_the_plate,5
libero_goal_full_0,16,11,libero_goal/put_the_bowl_on_the_stove,22
libero_goal_full_0,16,11,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,16,11,libero_goal/put_the_cream_cheese_in_the_bowl,1
libero_goal_full_0,16,11,libero_goal/turn_on_the_stove,37
libero_goal_full_0,16,12,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,82
libero_goal_full_0,16,12,libero_goal/push_the_plate_to_the_front_of_the_stove,25
libero_goal_full_0,16,12,libero_goal/put_the_bowl_on_the_plate,8
libero_goal_full_0,16,12,libero_goal/put_the_bowl_on_the_stove,273
libero_goal_full_0,16,12,libero_goal/put_the_bowl_on_top_of_the_cabinet,21
libero_goal_full_0,16,12,libero_goal/turn_on_the_stove,1
libero_goal_full_0,16,13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3
libero_goal_full_0,16,13,libero_goal/push_the_plate_to_the_front_of_the_stove,59
libero_goal_full_0,16,13,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,16,13,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,16,14,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,236
libero_goal_full_0,16,14,libero_goal/push_the_plate_to_the_front_of_the_stove,8
libero_goal_full_0,16,15,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,54
libero_goal_full_0,16,15,libero_goal/push_the_plate_to_the_front_of_the_stove,10
libero_goal_full_0,16,15,libero_goal/put_the_bowl_on_the_stove,34
libero_goal_full_0,16,15,libero_goal/put_the_bowl_on_top_of_the_cabinet,111
libero_goal_full_0,32,0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,67
libero_goal_full_0,32,0,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,32,0,libero_goal/put_the_bowl_on_the_plate,2
libero_goal_full_0,32,0,libero_goal/put_the_bowl_on_the_stove,4
libero_goal_full_0,32,0,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,32,1,libero_goal/push_the_plate_to_the_front_of_the_stove,127
libero_goal_full_0,32,2,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3
libero_goal_full_0,32,2,libero_goal/push_the_plate_to_the_front_of_the_stove,184
libero_goal_full_0,32,3,libero_goal/push_the_plate_to_the_front_of_the_stove,11
libero_goal_full_0,32,3,libero_goal/put_the_cream_cheese_in_the_bowl,144
libero_goal_full_0,32,4,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,134
libero_goal_full_0,32,4,libero_goal/push_the_plate_to_the_front_of_the_stove,2
libero_goal_full_0,32,5,libero_goal/push_the_plate_to_the_front_of_the_stove,136
libero_goal_full_0,32,6,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2
libero_goal_full_0,32,6,libero_goal/push_the_plate_to_the_front_of_the_stove,65
libero_goal_full_0,32,6,libero_goal/put_the_bowl_on_the_stove,11
libero_goal_full_0,32,6,libero_goal/put_the_bowl_on_top_of_the_cabinet,86
libero_goal_full_0,32,7,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,23
libero_goal_full_0,32,7,libero_goal/put_the_bowl_on_the_plate,42
libero_goal_full_0,32,7,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,32,7,libero_goal/turn_on_the_stove,52
libero_goal_full_0,32,8,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,7
libero_goal_full_0,32,8,libero_goal/push_the_plate_to_the_front_of_the_stove,15
libero_goal_full_0,32,8,libero_goal/put_the_bowl_on_the_plate,2
libero_goal_full_0,32,8,libero_goal/put_the_cream_cheese_in_the_bowl,5
libero_goal_full_0,32,8,libero_goal/turn_on_the_stove,2
libero_goal_full_0,32,9,libero_goal/push_the_plate_to_the_front_of_the_stove,162
libero_goal_full_0,32,10,libero_goal/push_the_plate_to_the_front_of_the_stove,57
libero_goal_full_0,32,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11
libero_goal_full_0,32,11,libero_goal/push_the_plate_to_the_front_of_the_stove,6
libero_goal_full_0,32,11,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,32,11,libero_goal/put_the_cream_cheese_in_the_bowl,162
libero_goal_full_0,32,12,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,146
libero_goal_full_0,32,13,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,17
libero_goal_full_0,32,13,libero_goal/push_the_plate_to_the_front_of_the_stove,10
libero_goal_full_0,32,13,libero_goal/put_the_bowl_on_the_plate,4
libero_goal_full_0,32,13,libero_goal/put_the_bowl_on_the_stove,205
libero_goal_full_0,32,13,libero_goal/put_the_bowl_on_top_of_the_cabinet,6
libero_goal_full_0,32,14,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45
libero_goal_full_0,32,14,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,32,15,libero_goal/put_the_cream_cheese_in_the_bowl,82
libero_goal_full_0,32,16,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,116
libero_goal_full_0,32,16,libero_goal/put_the_bowl_on_the_plate,2
libero_goal_full_0,32,16,libero_goal/put_the_bowl_on_the_stove,87
libero_goal_full_0,32,16,libero_goal/put_the_cream_cheese_in_the_bowl,1
libero_goal_full_0,32,16,libero_goal/turn_on_the_stove,4
libero_goal_full_0,32,17,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,93
libero_goal_full_0,32,17,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,32,18,libero_goal/push_the_plate_to_the_front_of_the_stove,112
libero_goal_full_0,32,19,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,58
libero_goal_full_0,32,19,libero_goal/push_the_plate_to_the_front_of_the_stove,7
libero_goal_full_0,32,19,libero_goal/put_the_bowl_on_the_plate,5
libero_goal_full_0,32,19,libero_goal/put_the_bowl_on_the_stove,25
libero_goal_full_0,32,19,libero_goal/put_the_bowl_on_top_of_the_cabinet,60
libero_goal_full_0,32,19,libero_goal/turn_on_the_stove,26
libero_goal_full_0,32,20,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3
libero_goal_full_0,32,20,libero_goal/push_the_plate_to_the_front_of_the_stove,48
libero_goal_full_0,32,20,libero_goal/put_the_bowl_on_the_plate,2
libero_goal_full_0,32,20,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,32,21,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,108
libero_goal_full_0,32,21,libero_goal/push_the_plate_to_the_front_of_the_stove,10
libero_goal_full_0,32,21,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,32,21,libero_goal/put_the_bowl_on_the_stove,13
libero_goal_full_0,32,21,libero_goal/put_the_cream_cheese_in_the_bowl,1
libero_goal_full_0,32,21,libero_goal/turn_on_the_stove,23
libero_goal_full_0,32,22,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19
libero_goal_full_0,32,22,libero_goal/push_the_plate_to_the_front_of_the_stove,4
libero_goal_full_0,32,22,libero_goal/put_the_bowl_on_the_stove,19
libero_goal_full_0,32,22,libero_goal/put_the_bowl_on_top_of_the_cabinet,90
libero_goal_full_0,32,23,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,105
libero_goal_full_0,32,23,libero_goal/push_the_plate_to_the_front_of_the_stove,2
libero_goal_full_0,32,24,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,206
libero_goal_full_0,32,24,libero_goal/push_the_plate_to_the_front_of_the_stove,4
libero_goal_full_0,32,24,libero_goal/put_the_bowl_on_the_plate,2
libero_goal_full_0,32,24,libero_goal/put_the_bowl_on_the_stove,2
libero_goal_full_0,32,24,libero_goal/turn_on_the_stove,2
libero_goal_full_0,32,25,libero_goal/push_the_plate_to_the_front_of_the_stove,95
libero_goal_full_0,32,26,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,73
libero_goal_full_0,32,26,libero_goal/push_the_plate_to_the_front_of_the_stove,48
libero_goal_full_0,32,26,libero_goal/put_the_bowl_on_the_stove,5
libero_goal_full_0,32,27,libero_goal/push_the_plate_to_the_front_of_the_stove,92
libero_goal_full_0,32,28,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3
libero_goal_full_0,32,28,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,32,28,libero_goal/put_the_bowl_on_the_plate,115
libero_goal_full_0,32,28,libero_goal/put_the_bowl_on_the_stove,19
libero_goal_full_0,32,28,libero_goal/put_the_cream_cheese_in_the_bowl,8
libero_goal_full_0,32,28,libero_goal/turn_on_the_stove,38
libero_goal_full_0,32,29,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1
libero_goal_full_0,32,29,libero_goal/push_the_plate_to_the_front_of_the_stove,12
libero_goal_full_0,32,29,libero_goal/put_the_bowl_on_the_stove,2
libero_goal_full_0,32,29,libero_goal/put_the_bowl_on_top_of_the_cabinet,119
libero_goal_full_0,32,30,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,3
libero_goal_full_0,32,30,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,32,30,libero_goal/put_the_bowl_on_the_plate,8
libero_goal_full_0,32,30,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,32,30,libero_goal/put_the_cream_cheese_in_the_bowl,55
libero_goal_full_0,32,30,libero_goal/turn_on_the_stove,8
libero_goal_full_0,32,31,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,76
libero_goal_full_0,32,31,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,32,31,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,32,31,libero_goal/put_the_cream_cheese_in_the_bowl,1
libero_goal_full_0,64,0,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1
libero_goal_full_0,64,0,libero_goal/put_the_bowl_on_the_plate,49
libero_goal_full_0,64,0,libero_goal/put_the_bowl_on_the_stove,5
libero_goal_full_0,64,0,libero_goal/turn_on_the_stove,28
libero_goal_full_0,64,1,libero_goal/push_the_plate_to_the_front_of_the_stove,76
libero_goal_full_0,64,2,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,64,2,libero_goal/put_the_cream_cheese_in_the_bowl,67
libero_goal_full_0,64,3,libero_goal/push_the_plate_to_the_front_of_the_stove,57
libero_goal_full_0,64,4,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,29
libero_goal_full_0,64,4,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,4,libero_goal/put_the_bowl_on_the_stove,20
libero_goal_full_0,64,4,libero_goal/put_the_bowl_on_top_of_the_cabinet,42
libero_goal_full_0,64,5,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,60
libero_goal_full_0,64,5,libero_goal/turn_on_the_stove,1
libero_goal_full_0,64,6,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4
libero_goal_full_0,64,6,libero_goal/push_the_plate_to_the_front_of_the_stove,64
libero_goal_full_0,64,6,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,64,6,libero_goal/put_the_bowl_on_top_of_the_cabinet,8
libero_goal_full_0,64,7,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,46
libero_goal_full_0,64,7,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,8,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,93
libero_goal_full_0,64,9,libero_goal/push_the_plate_to_the_front_of_the_stove,65
libero_goal_full_0,64,10,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2
libero_goal_full_0,64,10,libero_goal/push_the_plate_to_the_front_of_the_stove,80
libero_goal_full_0,64,11,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,107
libero_goal_full_0,64,12,libero_goal/push_the_plate_to_the_front_of_the_stove,21
libero_goal_full_0,64,13,libero_goal/push_the_plate_to_the_front_of_the_stove,43
libero_goal_full_0,64,14,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19
libero_goal_full_0,64,14,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,64,14,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,14,libero_goal/put_the_bowl_on_the_stove,8
libero_goal_full_0,64,14,libero_goal/put_the_cream_cheese_in_the_bowl,29
libero_goal_full_0,64,14,libero_goal/turn_on_the_stove,13
libero_goal_full_0,64,15,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11
libero_goal_full_0,64,15,libero_goal/push_the_plate_to_the_front_of_the_stove,4
libero_goal_full_0,64,15,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,15,libero_goal/put_the_bowl_on_the_stove,57
libero_goal_full_0,64,16,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,43
libero_goal_full_0,64,16,libero_goal/put_the_bowl_on_the_stove,3
libero_goal_full_0,64,17,libero_goal/push_the_plate_to_the_front_of_the_stove,68
libero_goal_full_0,64,18,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,19
libero_goal_full_0,64,18,libero_goal/push_the_plate_to_the_front_of_the_stove,2
libero_goal_full_0,64,18,libero_goal/put_the_bowl_on_the_stove,69
libero_goal_full_0,64,18,libero_goal/put_the_bowl_on_top_of_the_cabinet,6
libero_goal_full_0,64,19,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1
libero_goal_full_0,64,19,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,64,19,libero_goal/put_the_cream_cheese_in_the_bowl,90
libero_goal_full_0,64,20,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,6
libero_goal_full_0,64,20,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,64,20,libero_goal/put_the_cream_cheese_in_the_bowl,3
libero_goal_full_0,64,20,libero_goal/turn_on_the_stove,32
libero_goal_full_0,64,21,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,99
libero_goal_full_0,64,22,libero_goal/put_the_cream_cheese_in_the_bowl,59
libero_goal_full_0,64,23,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,33
libero_goal_full_0,64,23,libero_goal/push_the_plate_to_the_front_of_the_stove,50
libero_goal_full_0,64,23,libero_goal/put_the_bowl_on_the_stove,10
libero_goal_full_0,64,24,libero_goal/push_the_plate_to_the_front_of_the_stove,2
libero_goal_full_0,64,24,libero_goal/put_the_bowl_on_the_stove,1
libero_goal_full_0,64,24,libero_goal/put_the_bowl_on_top_of_the_cabinet,107
libero_goal_full_0,64,25,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45
libero_goal_full_0,64,25,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,26,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,15
libero_goal_full_0,64,26,libero_goal/push_the_plate_to_the_front_of_the_stove,2
libero_goal_full_0,64,27,libero_goal/push_the_plate_to_the_front_of_the_stove,52
libero_goal_full_0,64,28,libero_goal/push_the_plate_to_the_front_of_the_stove,4
libero_goal_full_0,64,28,libero_goal/put_the_cream_cheese_in_the_bowl,69
libero_goal_full_0,64,29,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,52
libero_goal_full_0,64,29,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,29,libero_goal/put_the_bowl_on_the_stove,11
libero_goal_full_0,64,29,libero_goal/put_the_cream_cheese_in_the_bowl,1
libero_goal_full_0,64,29,libero_goal/turn_on_the_stove,7
libero_goal_full_0,64,30,libero_goal/push_the_plate_to_the_front_of_the_stove,59
libero_goal_full_0,64,31,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,2
libero_goal_full_0,64,31,libero_goal/push_the_plate_to_the_front_of_the_stove,9
libero_goal_full_0,64,31,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,32,libero_goal/push_the_plate_to_the_front_of_the_stove,77
libero_goal_full_0,64,33,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,1
libero_goal_full_0,64,33,libero_goal/push_the_plate_to_the_front_of_the_stove,11
libero_goal_full_0,64,33,libero_goal/put_the_cream_cheese_in_the_bowl,2
libero_goal_full_0,64,34,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4
libero_goal_full_0,64,34,libero_goal/put_the_bowl_on_the_plate,36
libero_goal_full_0,64,34,libero_goal/put_the_bowl_on_the_stove,2
libero_goal_full_0,64,34,libero_goal/turn_on_the_stove,30
libero_goal_full_0,64,35,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13
libero_goal_full_0,64,35,libero_goal/push_the_plate_to_the_front_of_the_stove,3
libero_goal_full_0,64,35,libero_goal/put_the_bowl_on_the_plate,5
libero_goal_full_0,64,35,libero_goal/put_the_bowl_on_the_stove,90
libero_goal_full_0,64,35,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,64,35,libero_goal/turn_on_the_stove,1
libero_goal_full_0,64,36,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,37
libero_goal_full_0,64,37,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,67
libero_goal_full_0,64,38,libero_goal/push_the_plate_to_the_front_of_the_stove,18
libero_goal_full_0,64,39,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,45
libero_goal_full_0,64,39,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,39,libero_goal/put_the_bowl_on_the_stove,8
libero_goal_full_0,64,39,libero_goal/turn_on_the_stove,6
libero_goal_full_0,64,40,libero_goal/push_the_plate_to_the_front_of_the_stove,13
libero_goal_full_0,64,41,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,11
libero_goal_full_0,64,41,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,64,41,libero_goal/put_the_bowl_on_the_stove,3
libero_goal_full_0,64,41,libero_goal/put_the_bowl_on_top_of_the_cabinet,40
libero_goal_full_0,64,42,libero_goal/push_the_plate_to_the_front_of_the_stove,45
libero_goal_full_0,64,43,libero_goal/push_the_plate_to_the_front_of_the_stove,10
libero_goal_full_0,64,43,libero_goal/put_the_bowl_on_the_stove,2
libero_goal_full_0,64,43,libero_goal/put_the_bowl_on_top_of_the_cabinet,84
libero_goal_full_0,64,44,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,71
libero_goal_full_0,64,44,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,64,45,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,4
libero_goal_full_0,64,45,libero_goal/push_the_plate_to_the_front_of_the_stove,1
libero_goal_full_0,64,45,libero_goal/put_the_bowl_on_the_plate,1
libero_goal_full_0,64,45,libero_goal/put_the_bowl_on_the_stove,95
libero_goal_full_0,64,45,libero_goal/put_the_bowl_on_top_of_the_cabinet,1
libero_goal_full_0,64,46,libero_goal/put_the_cream_cheese_in_the_bowl,44
libero_goal_full_0,64,46,libero_goal/turn_on_the_stove,1
