global_row,task,init_state_id,episode,source,score,peak_query,descending_rank,method,fold
4337,libero_goal/put_the_bowl_on_top_of_the_cabinet,42,337,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,1.045326590538025,7,38,knn20,libero_goal_full_0
5117,libero_goal/put_the_cream_cheese_in_the_bowl,39,317,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,1.0431121587753296,8,39,knn20,libero_goal_full_0
7526,libero_goal/turn_on_the_stove,40,326,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,1.0145400762557983,7,40,knn20,libero_goal_full_0
4165,libero_goal/put_the_bowl_on_top_of_the_cabinet,20,165,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,0.9891713857650757,8,41,knn20,libero_goal_full_0
2732,libero_goal/put_the_bowl_on_the_plate,41,332,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.984494686126709,7,42,knn20,libero_goal_full_0
3516,libero_goal/put_the_bowl_on_the_stove,39,316,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.9787095189094543,8,43,knn20,libero_goal_full_0
3305,libero_goal/put_the_bowl_on_the_stove,13,105,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.9402665495872498,8,44,knn20,libero_goal_full_0
5139,libero_goal/put_the_cream_cheese_in_the_bowl,42,339,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,0.928534209728241,8,45,knn20,libero_goal_full_0
4323,libero_goal/put_the_bowl_on_top_of_the_cabinet,40,323,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,0.9215624332427979,8,46,knn20,libero_goal_full_0
3539,libero_goal/put_the_bowl_on_the_stove,42,339,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.912474513053894,8,47,knn20,libero_goal_full_0
2561,libero_goal/put_the_bowl_on_the_plate,20,161,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.908579409122467,7,48,knn20,libero_goal_full_0
4080,libero_goal/put_the_bowl_on_top_of_the_cabinet,10,80,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,0.9054707288742065,8,49,knn20,libero_goal_full_0
4271,libero_goal/put_the_bowl_on_top_of_the_cabinet,33,271,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,0.9033278226852417,7,50,knn20,libero_goal_full_0
3287,libero_goal/put_the_bowl_on_the_stove,10,87,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.9016667604446411,8,51,knn20,libero_goal_full_0
7531,libero_goal/turn_on_the_stove,41,331,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,0.8829841613769531,7,52,knn20,libero_goal_full_0
4108,libero_goal/put_the_bowl_on_top_of_the_cabinet,13,108,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,0.8799130320549011,8,53,knn20,libero_goal_full_0
7539,libero_goal/turn_on_the_stove,42,339,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,0.8698220252990723,7,54,knn20,libero_goal_full_0
3470,libero_goal/put_the_bowl_on_the_stove,33,270,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.8342881202697754,8,55,knn20,libero_goal_full_0
4313,libero_goal/put_the_bowl_on_top_of_the_cabinet,39,313,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,0.8327245116233826,8,56,knn20,libero_goal_full_0
2713,libero_goal/put_the_bowl_on_the_plate,39,313,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.8322680592536926,7,57,knn20,libero_goal_full_0
3408,libero_goal/put_the_bowl_on_the_stove,26,208,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.8145111203193665,8,58,knn20,libero_goal_full_0
2407,libero_goal/put_the_bowl_on_the_plate,0,7,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.8130632042884827,7,59,knn20,libero_goal_full_0
7286,libero_goal/turn_on_the_stove,10,86,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,0.8101701736450195,7,60,knn20,libero_goal_full_0
7364,libero_goal/turn_on_the_stove,20,164,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,0.8081628084182739,7,61,knn20,libero_goal_full_0
2487,libero_goal/put_the_bowl_on_the_plate,10,87,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.8069759607315063,7,62,knn20,libero_goal_full_0
3203,libero_goal/put_the_bowl_on_the_stove,0,3,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.789697527885437,8,63,knn20,libero_goal_full_0
3533,libero_goal/put_the_bowl_on_the_stove,41,333,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.7825488448143005,8,64,knn20,libero_goal_full_0
2665,libero_goal/put_the_bowl_on_the_plate,33,265,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.7537357807159424,7,65,knn20,libero_goal_full_0
3525,libero_goal/put_the_bowl_on_the_stove,40,325,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,0.750452995300293,8,66,knn20,libero_goal_full_0
2724,libero_goal/put_the_bowl_on_the_plate,40,324,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.7330030798912048,7,67,knn20,libero_goal_full_0
2737,libero_goal/put_the_bowl_on_the_plate,42,337,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,0.7301619052886963,7,68,knn20,libero_goal_full_0
7409,libero_goal/turn_on_the_stove,26,209,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,0.7255063652992249,7,69,knn20,libero_goal_full_0
7512,libero_goal/turn_on_the_stove,39,312,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,-inf,-1,70,knn20,libero_goal_full_0
1709,libero_goal/push_the_plate_to_the_front_of_the_stove,13,109,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,7.359172821044922,11,1,norm_only,libero_goal_full_0
4801,libero_goal/put_the_cream_cheese_in_the_bowl,0,1,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,7.051754474639893,10,2,norm_only,libero_goal_full_0
1933,libero_goal/push_the_plate_to_the_front_of_the_stove,41,333,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,6.996034145355225,11,3,norm_only,libero_goal_full_0
1687,libero_goal/push_the_plate_to_the_front_of_the_stove,10,87,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,6.6492204666137695,11,4,norm_only,libero_goal_full_0
5132,libero_goal/put_the_cream_cheese_in_the_bowl,41,332,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,5.924835681915283,9,5,norm_only,libero_goal_full_0
1602,libero_goal/push_the_plate_to_the_front_of_the_stove,0,2,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.885496139526367,11,6,norm_only,libero_goal_full_0
1867,libero_goal/push_the_plate_to_the_front_of_the_stove,33,267,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.8004961013793945,11,7,norm_only,libero_goal_full_0
1815,libero_goal/push_the_plate_to_the_front_of_the_stove,26,215,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.7772603034973145,11,8,norm_only,libero_goal_full_0
7206,libero_goal/turn_on_the_stove,0,6,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,5.7241315841674805,8,9,norm_only,libero_goal_full_0
4965,libero_goal/put_the_cream_cheese_in_the_bowl,20,165,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,5.6382012367248535,9,10,norm_only,libero_goal_full_0
5138,libero_goal/put_the_cream_cheese_in_the_bowl,42,338,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,5.589975833892822,8,11,norm_only,libero_goal_full_0
5068,libero_goal/put_the_cream_cheese_in_the_bowl,33,268,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,5.324837684631348,9,12,norm_only,libero_goal_full_0
1917,libero_goal/push_the_plate_to_the_front_of_the_stove,39,317,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.2967424392700195,11,13,norm_only,libero_goal_full_0
1925,libero_goal/push_the_plate_to_the_front_of_the_stove,40,325,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.257221221923828,12,14,norm_only,libero_goal_full_0
1938,libero_goal/push_the_plate_to_the_front_of_the_stove,42,338,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.1816253662109375,11,15,norm_only,libero_goal_full_0
1765,libero_goal/push_the_plate_to_the_front_of_the_stove,20,165,cache_new/HiMoE-VLA/libero_goal/push_the_plate_to_the_front_of_the_stove/right-50x8-20260903,5.139759063720703,11,16,norm_only,libero_goal_full_0
5008,libero_goal/put_the_cream_cheese_in_the_bowl,26,208,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,4.7808427810668945,8,17,norm_only,libero_goal_full_0
5120,libero_goal/put_the_cream_cheese_in_the_bowl,40,320,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,4.708873271942139,8,18,norm_only,libero_goal_full_0
4904,libero_goal/put_the_cream_cheese_in_the_bowl,13,104,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,4.665004253387451,8,19,norm_only,libero_goal_full_0
804,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,0,4,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,4.629540920257568,18,20,norm_only,libero_goal_full_0
5114,libero_goal/put_the_cream_cheese_in_the_bowl,39,314,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,4.356894493103027,8,21,norm_only,libero_goal_full_0
880,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,10,80,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,4.163846015930176,17,22,norm_only,libero_goal_full_0
965,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,20,165,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,4.080995082855225,11,23,norm_only,libero_goal_full_0
4882,libero_goal/put_the_cream_cheese_in_the_bowl,10,82,cache_new/HiMoE-VLA/libero_goal/put_the_cream_cheese_in_the_bowl/right-50x8-20260903,3.9687469005584717,8,24,norm_only,libero_goal_full_0
1068,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,33,268,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,3.847862482070923,18,25,norm_only,libero_goal_full_0
1143,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,42,343,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,3.804206371307373,17,26,norm_only,libero_goal_full_0
1117,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,317,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,3.7104461193084717,11,27,norm_only,libero_goal_full_0
1130,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,41,330,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,3.620847463607788,11,28,norm_only,libero_goal_full_0
1012,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,26,212,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,3.5818917751312256,18,29,norm_only,libero_goal_full_0
7526,libero_goal/turn_on_the_stove,40,326,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,3.0305440425872803,7,30,norm_only,libero_goal_full_0
4271,libero_goal/put_the_bowl_on_top_of_the_cabinet,33,271,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,3.0283093452453613,7,31,norm_only,libero_goal_full_0
2506,libero_goal/put_the_bowl_on_the_plate,13,106,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,3.0134458541870117,8,32,norm_only,libero_goal_full_0
2608,libero_goal/put_the_bowl_on_the_plate,26,208,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,2.978289842605591,7,33,norm_only,libero_goal_full_0
7465,libero_goal/turn_on_the_stove,33,265,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,2.939417600631714,7,34,norm_only,libero_goal_full_0
907,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,13,107,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,2.937750816345215,18,35,norm_only,libero_goal_full_0
4211,libero_goal/put_the_bowl_on_top_of_the_cabinet,26,211,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.9060542583465576,9,36,norm_only,libero_goal_full_0
2561,libero_goal/put_the_bowl_on_the_plate,20,161,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,2.800246477127075,7,37,norm_only,libero_goal_full_0
2730,libero_goal/put_the_bowl_on_the_plate,41,330,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,2.786912441253662,7,38,norm_only,libero_goal_full_0
4081,libero_goal/put_the_bowl_on_top_of_the_cabinet,10,81,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.7592625617980957,7,39,norm_only,libero_goal_full_0
4321,libero_goal/put_the_bowl_on_top_of_the_cabinet,40,321,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.7074472904205322,7,40,norm_only,libero_goal_full_0
2723,libero_goal/put_the_bowl_on_the_plate,40,323,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,2.5149929523468018,7,41,norm_only,libero_goal_full_0
4337,libero_goal/put_the_bowl_on_top_of_the_cabinet,42,337,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.502211332321167,7,42,norm_only,libero_goal_full_0
4313,libero_goal/put_the_bowl_on_top_of_the_cabinet,39,313,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.4779906272888184,7,43,norm_only,libero_goal_full_0
7306,libero_goal/turn_on_the_stove,13,106,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,2.439973831176758,7,44,norm_only,libero_goal_full_0
4328,libero_goal/put_the_bowl_on_top_of_the_cabinet,41,328,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.4091432094573975,7,45,norm_only,libero_goal_full_0
4161,libero_goal/put_the_bowl_on_top_of_the_cabinet,20,161,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.3358540534973145,7,46,norm_only,libero_goal_full_0
3538,libero_goal/put_the_bowl_on_the_stove,42,338,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,2.2396082878112793,9,47,norm_only,libero_goal_full_0
2483,libero_goal/put_the_bowl_on_the_plate,10,83,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,2.236539125442505,7,48,norm_only,libero_goal_full_0
1125,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,40,325,cache_new/HiMoE-VLA/libero_goal/open_the_top_drawer_and_put_the_bowl_inside/right-50x8-20260903,2.209754228591919,10,49,norm_only,libero_goal_full_0
3283,libero_goal/put_the_bowl_on_the_stove,10,83,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,2.1520016193389893,7,50,norm_only,libero_goal_full_0
2670,libero_goal/put_the_bowl_on_the_plate,33,270,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,2.0579588413238525,7,51,norm_only,libero_goal_full_0
7529,libero_goal/turn_on_the_stove,41,329,cache_new/HiMoE-VLA/libero_goal/turn_on_the_stove/right-50x8-20260903,2.0468857288360596,7,52,norm_only,libero_goal_full_0
3360,libero_goal/put_the_bowl_on_the_stove,20,160,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,2.0443649291992188,8,53,norm_only,libero_goal_full_0
4106,libero_goal/put_the_bowl_on_top_of_the_cabinet,13,106,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,2.020456552505493,7,54,norm_only,libero_goal_full_0
3304,libero_goal/put_the_bowl_on_the_stove,13,104,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,1.9811217784881592,7,55,norm_only,libero_goal_full_0
2714,libero_goal/put_the_bowl_on_the_plate,39,314,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,1.95884108543396,7,56,norm_only,libero_goal_full_0
3411,libero_goal/put_the_bowl_on_the_stove,26,211,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,1.9041073322296143,7,57,norm_only,libero_goal_full_0
4000,libero_goal/put_the_bowl_on_top_of_the_cabinet,0,0,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_top_of_the_cabinet/right-50x8-20260903,1.8371939659118652,8,58,norm_only,libero_goal_full_0
2405,libero_goal/put_the_bowl_on_the_plate,0,5,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_plate/right-50x8-20260903,1.761467456817627,7,59,norm_only,libero_goal_full_0
3464,libero_goal/put_the_bowl_on_the_stove,33,264,cache_new/HiMoE-VLA/libero_goal/put_the_bowl_on_the_stove/right-50x8-20260903,1.744654655456543,7,60,norm_only,libero_goal_full_0
