calibration,alpha,method,scope,tp,fp,failures,successes,recall,fpr,median_failure_q,tp_by_cap_50,fp_by_cap_50,tp_by_cap_60,fp_by_cap_60,recall_lo,recall_hi,fpr_lo,fpr_hi
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,11,0,12,388,0.9166666666666666,0.0,17.0,2,0,2,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,39,0,41,359,0.9512195121951219,0.0,19.0,0,0,1,0,,,,
episode,0.005,old_ac,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,all,481,138,564,15436,0.8528368794326241,0.008940139932625032,24.0,78,95,159,114,0.811914457316125,0.9089441601444913,0.005747374264901259,0.01230180889648942
episode,0.005,previous_two_of_three,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,21,7,37,10,,,,
episode,0.005,previous_two_of_three,libero_long,241,112,274,3726,0.8795620437956204,0.030059044551798177,32.0,52,84,111,99,,,,
episode,0.005,previous_two_of_three,libero_object,30,12,44,3956,0.6818181818181818,0.003033367037411527,19.5,1,3,4,4,,,,
episode,0.005,previous_two_of_three,libero_spatial,123,4,140,3860,0.8785714285714286,0.0010362694300518134,18.0,4,1,7,1,,,,
episode,0.005,previous_two_of_three,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,0,0,3,1,,,,
episode,0.005,previous_two_of_three,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,0,2,1,4,,,,
episode,0.005,previous_two_of_three,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,2,0,6,0,,,,
episode,0.005,previous_two_of_three,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,16.0,0,0,7,0,,,,
episode,0.005,previous_two_of_three,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,previous_two_of_three,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,previous_two_of_three,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,3,4,396,1.0,0.007575757575757576,37.5,0,3,0,3,,,,
episode,0.005,previous_two_of_three,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,10,1,399,1.0,0.02506265664160401,29.0,0,9,1,9,,,,
episode,0.005,previous_two_of_three,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,21,1,399,1.0,0.05263157894736842,41.0,0,20,0,20,,,,
episode,0.005,previous_two_of_three,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,124,15,151,249,0.8211920529801324,0.060240963855421686,33.0,0,1,22,6,,,,
episode,0.005,previous_two_of_three,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,29,6,30,370,0.9666666666666667,0.016216216216216217,14.0,22,6,23,6,,,,
episode,0.005,previous_two_of_three,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,8,0,8,2,,,,
episode,0.005,previous_two_of_three,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,6,4,396,1.0,0.015151515151515152,31.0,1,3,2,6,,,,
episode,0.005,previous_two_of_three,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,17,5,20,380,0.85,0.013157894736842105,30.0,3,4,15,4,,,,
episode,0.005,previous_two_of_three,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,21,47,353,1.0,0.059490084985835696,30.0,13,16,34,20,,,,
episode,0.005,previous_two_of_three,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,23,6,394,1.0,0.0583756345177665,25.5,5,22,6,23,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,5,3,397,0.6666666666666666,0.012594458438287154,21.5,0,0,0,1,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,0,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,0,2,0,2,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,0,1,0,1,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,5,1,7,393,0.7142857142857143,0.002544529262086514,24.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,1,0,1,399,1.0,0.0,21.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_milk_and_place_it_in_the_basket,6,1,7,393,0.8571428571428571,0.002544529262086514,18.5,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,1,2,5,395,0.2,0.005063291139240506,15.0,0,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,3,0,4,396,0.75,0.0,22.0,0,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,3,0,7,393,0.42857142857142855,0.0,17.0,1,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,1,1,399,0.0,0.002506265664160401,,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,3,0,3,397,1.0,0.0,18.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,10,0,14,386,0.7142857142857143,0.0,19.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,0,3,397,0.3333333333333333,0.0,19.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,20,2,24,376,0.8333333333333334,0.005319148936170213,17.5,2,1,2,1,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,7,0,8,392,0.875,0.0,19.0,0,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,13,1,13,387,1.0,0.002583979328165375,16.0,0,0,0,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,12,0,12,388,1.0,0.0,17.0,2,0,3,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,38,0,41,359,0.926829268292683,0.0,19.0,0,0,1,0,,,,
episode,0.005,previous_two_of_three,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,19,0,21,379,0.9047619047619048,0.0,18.0,0,0,0,0,,,,
episode,0.005,ac_reference,all,485,134,564,15436,0.8599290780141844,0.008681005441824307,24.0,83,97,165,113,0.818438125113657,0.9195410002773412,0.0055716199664686645,0.011907252014254258
episode,0.005,ac_reference,libero_goal,87,10,106,3894,0.8207547169811321,0.0025680534155110425,21.0,22,8,37,10,,,,
episode,0.005,ac_reference,libero_long,243,110,274,3726,0.8868613138686131,0.029522275899087493,32.0,56,84,117,97,,,,
episode,0.005,ac_reference,libero_object,31,10,44,3956,0.7045454545454546,0.0025278058645096056,20.0,1,4,4,5,,,,
episode,0.005,ac_reference,libero_spatial,124,4,140,3860,0.8857142857142857,0.0010362694300518134,19.0,4,1,7,1,,,,
episode,0.005,ac_reference,libero_goal/open_the_middle_drawer_of_the_cabinet,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,ac_reference,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,39,1,51,349,0.7647058823529411,0.0028653295128939827,25.0,1,1,3,1,,,,
episode,0.005,ac_reference,libero_goal/push_the_plate_to_the_front_of_the_stove,1,4,1,399,1.0,0.010025062656641603,16.0,0,2,1,4,,,,
episode,0.005,ac_reference,libero_goal/put_the_bowl_on_the_plate,11,0,18,382,0.6111111111111112,0.0,16.0,2,0,6,0,,,,
episode,0.005,ac_reference,libero_goal/put_the_bowl_on_the_stove,9,0,9,391,1.0,0.0,18.0,0,0,7,0,,,,
episode,0.005,ac_reference,libero_goal/put_the_bowl_on_top_of_the_cabinet,16,0,16,384,1.0,0.0,14.0,15,0,16,0,,,,
episode,0.005,ac_reference,libero_goal/put_the_cream_cheese_in_the_bowl,9,5,9,391,1.0,0.01278772378516624,20.0,3,5,3,5,,,,
episode,0.005,ac_reference,libero_goal/put_the_wine_bottle_on_the_rack,1,0,1,399,1.0,0.0,22.0,0,0,0,0,,,,
episode,0.005,ac_reference,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,1,0,1,399,1.0,0.0,15.0,1,0,1,0,,,,
episode,0.005,ac_reference,libero_goal/turn_on_the_stove,0,0,0,400,,0.0,,0,0,0,0,,,,
episode,0.005,ac_reference,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,4,0,4,396,1.0,0.0,38.0,0,0,0,0,,,,
episode,0.005,ac_reference,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,1,11,1,399,1.0,0.02756892230576441,19.0,1,11,1,11,,,,
episode,0.005,ac_reference,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,1,16,1,399,1.0,0.040100250626566414,41.0,0,15,0,15,,,,
episode,0.005,ac_reference,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,124,15,151,249,0.8211920529801324,0.060240963855421686,33.0,0,0,23,5,,,,
episode,0.005,ac_reference,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,10,30,370,1.0,0.02702702702702703,14.0,24,10,27,10,,,,
episode,0.005,ac_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,2,10,390,0.8,0.005128205128205128,10.0,8,1,8,2,,,,
episode,0.005,ac_reference,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,4,7,4,396,1.0,0.017676767676767676,27.5,2,5,3,7,,,,
episode,0.005,ac_reference,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,18,5,20,380,0.9,0.013157894736842105,30.0,4,4,15,4,,,,
episode,0.005,ac_reference,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,47,20,47,353,1.0,0.056657223796033995,30.0,11,15,34,19,,,,
episode,0.005,ac_reference,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,6,24,6,394,1.0,0.06091370558375635,24.5,6,23,6,24,,,,
episode,0.005,ac_reference,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,2,2,3,397,0.6666666666666666,0.005037783375314861,21.5,0,0,0,1,,,,
episode,0.005,ac_reference,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,9,0,10,390,0.9,0.0,20.0,0,0,1,0,,,,
episode,0.005,ac_reference,libero_object/pick_up_the_butter_and_place_it_in_the_basket,0,2,0,400,,0.005,,0,2,0,2,,,,
episode,0.005,ac_reference,libero_object/pick_up_the_chocolate_pudding_and_place_it_in_the_basket,0,1,0,400,,0.0025,,0,1,0,1,,,,
