variable,kind,provenance,effect_statistic,tail,n_g1,n_g2,n_g3,g1,g2,g3,effect_g1_vs_g2,ci_lo,ci_hi,bootstrap_valid_fraction,null_mean,null_sd,perm_p,perm_p_within_task,strat_null_mean,effect_g1_vs_g3,ci_g3_lo,ci_g3_hi,perm_p_westfall_young,perm_p_bh,perm_p_within_task_westfall_young
primary_behavior,categorical,taxonomy,cramers_v,upper,24,61,171,4 levels [regrasp_or_drop=11; gripper_cycling=10; other=2],6 levels [other=29; regrasp_or_drop=18; gripper_cycling=9],7 levels [other=74; regrasp_or_drop=61; stagnation=13],0.43693178198104204,0.17392620303321926,0.7275561489111808,1.0,0.23579450945163286,0.06553099089476415,0.00399800099950025,0.8345827086456772,0.480331418117721,0.41514270374165285,0.17681523434709392,0.6775542259881887,0.03298350824587706,0.009086365907955113,1.0
n_behaviors,numeric,taxonomy-derived,cohens_d,two-sided,24,61,171,mean 1.542 / med 1.000 (n=24),mean 0.934 / med 1.000 (n=61),mean 0.994 / med 1.000 (n=171),0.6047101800687719,-0.21413000817442276,1.2812904947372612,1.0,-0.00391288222719417,0.24201609750723627,0.013493253373313344,0.08495752123938032,0.3892459869541585,0.5419929556653871,-0.07426918028492317,1.3662622965932427,0.11794102948525736,0.02811094452773613,0.4407796101949025
belief_mismatch,binary,taxonomy,risk_difference,two-sided,24,61,171,0.083 (2/24),0.295 (18/61),0.281 (48/171),-0.21174863387978143,-0.41805652680652683,0.1508281573498963,1.0,-0.004938524590163933,0.10269781961885706,0.04847576211894053,0.30134932533733133,-0.1618169398907104,-0.19736842105263158,-0.44979752056826866,0.11076235848241282,0.3538230884557721,0.08079293686490088,0.896551724137931
belief_mismatch_count,numeric,taxonomy,cohens_d,two-sided,24,61,171,mean 0.083 / med 0.000 (n=24),mean 0.295 / med 0.000 (n=61),mean 0.292 / med 0.000 (n=171),-0.5062308077835077,-0.9543685321324101,0.4568746807787399,0.998,-0.011638484523505375,0.24347419903167267,0.04847576211894053,0.30134932533733133,-0.3833089341482844,-0.44182381234069096,-0.9293259888927188,0.2425697848595851,0.3538230884557721,0.08079293686490088,0.896551724137931
phantom,binary,co-occurrence,risk_difference,two-sided,24,61,171,0.083 (2/24),0.295 (18/61),0.281 (48/171),-0.21174863387978143,-0.4205894024276377,0.13649019607843127,1.0,-0.004938524590163933,0.10269781961885706,0.04847576211894053,0.30134932533733133,-0.1618169398907104,-0.19736842105263158,-0.43749866717847014,0.12369244490129072,0.3538230884557721,0.08079293686490088,0.896551724137931
closed_mismatch_candidate,binary,taxonomy,risk_difference,two-sided,24,61,171,0.125 (3/24),0.295 (18/61),0.304 (52/171),-0.17008196721311475,-0.38906921455078475,0.15910669191919183,1.0,-0.004436475409836062,0.10564780796303135,0.16441779110444776,0.30134932533733133,-0.12015027322404372,-0.17909356725146197,-0.42443736219067957,0.08801247833462374,0.7856071964017991,0.2417908692712467,0.896551724137931
closed_mismatch_within_5q,binary,taxonomy,risk_difference,two-sided,24,61,171,0.125 (3/24),0.295 (18/61),0.304 (52/171),-0.17008196721311475,-0.39076008771929827,0.17358745742336198,1.0,-0.004436475409836062,0.10564780796303135,0.16441779110444776,0.30134932533733133,-0.12015027322404372,-0.17909356725146197,-0.42823730410321004,0.10494808302449958,0.7856071964017991,0.2417908692712467,0.896551724137931
behavior_regrasp_or_drop,binary,taxonomy-derived,risk_difference,two-sided,24,61,171,0.500 (12/24),0.344 (21/61),0.386 (66/171),0.1557377049180328,-0.3207149621212121,0.6191043878982165,1.0,-0.00018271857923496791,0.12008381130266431,0.2303848075962019,0.06096951524237881,0.03003756830601094,0.11403508771929827,-0.27899460182832553,0.5408423913043477,0.8980509745127436,0.3199788994391693,0.280359820089955
init_state_id,numeric,cohort,cohens_d,two-sided,24,61,171,mean 21.500 / med 24.000 (n=24),mean 24.131 / med 24.000 (n=61),mean 23.690 / med 25.000 (n=171),-0.18108422838779925,-1.0246993310184953,0.6862070028068751,1.0,-0.0023471211639534634,0.2442155420026544,0.46926536731634183,0.768615692153923,-0.15144486259066978,-0.1521290372394523,-0.9373080494722117,0.628885381515147,0.9940029985007496,0.6174544306793972,1.0
behavior_goal_regression,binary,taxonomy-derived,risk_difference,two-sided,24,61,171,0.125 (3/24),0.197 (12/61),0.251 (43/171),-0.07172131147540983,-0.3787023124467178,0.18891577060931886,1.0,-0.0027749316939890667,0.09312505008870627,0.5417291354322838,1.0,-0.08940061475409834,-0.12646198830409355,-0.3789296227321879,0.15920815807808364,0.999000499750125,0.6514599842935676,1.0
behavior_subtask_undo,binary,taxonomy-derived,risk_difference,two-sided,24,61,171,0.000 (0/24),0.049 (3/61),0.047 (8/171),-0.04918032786885246,-0.09090909090909091,0.0,1.0,-0.0008452868852459057,0.04378548833064976,0.5472263868065967,,-0.04918032786885247,-0.04678362573099415,-0.09813292723631509,-0.0076851851851852246,0.999000499750125,0.6514599842935676,
static_onset,numeric,taxonomy,cohens_d,two-sided,24,61,171,mean 0.667 / med -1.000 (n=24),mean -0.426 / med -1.000 (n=61),mean 3.953 / med -1.000 (n=171),0.19027480941692584,-0.33319096100977497,0.913288378441952,0.894,0.003137632869952583,0.2410708215936819,0.784607696151924,0.4962518740629685,-0.01361732184519781,-0.2921951964976028,-0.6737628666869535,0.2690282903422773,1.0,0.8915996547180955,0.9985007496251874
first_event,categorical,taxonomy,cramers_v,upper,24,61,171,1 levels [loop_first=24],2 levels [loop_first=60; static_first=1],2 levels [loop_first=167; static_first=4],0.06843859108291549,0.03455090948249105,0.20385755637131822,0.635,0.0990363445129023,0.04788817832951557,1.0,1.0,0.06843859108291547,0.05421517671501652,0.025956816199072315,0.07997952248713344,1.0,1.0,1.0
static,binary,co-occurrence,risk_difference,two-sided,24,61,171,0.042 (1/24),0.016 (1/61),0.170 (29/171),0.025273224043715844,-0.0625,0.16666666666666666,1.0,0.00036543715846994255,0.03645121114467438,1.0,0.4962518740629685,-0.003989071038251369,-0.12792397660818713,-0.3121118630573248,0.04847146122976376,1.0,1.0,0.9985007496251874
behavior_goal_approach_leave,binary,taxonomy-derived,risk_difference,two-sided,24,61,171,0.042 (1/24),0.033 (2/61),0.006 (1/171),0.008879781420765023,-0.0297029702970297,0.1387465587676311,1.0,-0.0013097677595628454,0.04470991269185735,1.0,0.20589705147426288,-0.03724897540983607,0.035818713450292396,-0.01694915254237288,0.18181818181818182,1.0,1.0,0.7691154422788605
