task,head,quantile,threshold,reference_episodes,outcomes_used
libero_goal/put_the_cream_cheese_in_the_bowl,instability,0.8,0.05316264182329178,400,False
libero_goal/put_the_wine_bottle_on_the_rack,instability,0.8,0.04394819587469101,400,False
libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,instability,0.8,0.044725142419338226,400,False
libero_goal/turn_on_the_stove,instability,0.8,0.047225724905729294,400,False
libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,instability,0.8,0.0659092590212822,400,False
libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,instability,0.8,0.06472069025039673,400,False
libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,instability,0.8,0.06529031693935394,400,False
libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,instability,0.8,0.058945201337337494,400,False
libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,instability,0.8,0.06939249485731125,400,False
libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,instability,0.8,0.06577013432979584,400,False
libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,instability,0.8,0.06689050793647766,400,False
libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,instability,0.8,0.06529214233160019,400,False
libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,instability,0.8,0.06465007364749908,400,False
libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,instability,0.8,0.0575471855700016,400,False
libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,instability,0.8,0.06287327408790588,400,False
libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,instability,0.8,0.06374386698007584,400,False
libero_object/pick_up_the_butter_and_place_it_in_the_basket,instability,0.8,0.06425362825393677,400,False
libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,instability,0.8,0.06774618476629257,400,False
libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,instability,0.8,0.06075611710548401,400,False
libero_object/pick_up_the_milk_and_place_it_in_the_basket,instability,0.8,0.06255152076482773,400,False
libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,instability,0.8,0.060295358300209045,400,False
libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,instability,0.8,0.0644587054848671,400,False
libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,instability,0.8,0.06499186158180237,400,False
libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,instability,0.8,0.08119812607765198,400,False
libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,instability,0.8,0.07171712070703506,400,False
libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,instability,0.8,0.0691281333565712,400,False
libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,instability,0.8,0.07036460936069489,400,False
libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,instability,0.8,0.0761970579624176,400,False
libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,instability,0.8,0.07660863548517227,400,False
libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,instability,0.8,0.07743093371391296,400,False
libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,instability,0.8,0.0775730311870575,400,False
libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,instability,0.8,0.06901532411575317,400,False
libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,instability,0.8,0.07870904356241226,400,False
