series,direction,quantile,rule,params,basis,d_fp0,d_tp4,d_fp4,d_tp12,d_tp16,conc12,gain12,top_task
set_inflow_all,low,0.96,hard,"{""confirm"": 1}",global,1006,116,677,141,89,0.3829787234042553,141,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,hard,"{""confirm"": 1}",strat,4005,120,2873,179,140,0.24022346368715083,179,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,hard,"{""confirm"": 2}",global,309,104,215,102,44,0.47058823529411764,102,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,hard,"{""confirm"": 2}",strat,798,76,543,82,37,0.35365853658536583,82,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.96,hard,"{""confirm"": 3}",global,142,97,104,70,23,0.4142857142857143,70,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,hard,"{""confirm"": 3}",strat,191,50,123,40,11,0.425,40,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.96,excursion,"{""m"": 2, ""k"": 3}",global,323,106,232,112,45,0.4642857142857143,112,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,excursion,"{""m"": 2, ""k"": 3}",strat,924,80,633,92,43,0.34782608695652173,92,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.96,excursion,"{""m"": 3, ""k"": 5}",global,166,101,120,86,25,0.47674418604651164,86,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,excursion,"{""m"": 3, ""k"": 5}",strat,254,55,168,52,18,0.4230769230769231,52,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.96,excursion,"{""m"": 4, ""k"": 6}",global,107,95,57,55,15,0.4909090909090909,55,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.96,excursion,"{""m"": 4, ""k"": 6}",strat,82,30,58,23,4,0.43478260869565216,23,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,hard,"{""confirm"": 1}",global,330,100,213,92,40,0.34782608695652173,92,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_inflow_all,low,0.98,hard,"{""confirm"": 1}",strat,2177,101,1560,131,83,0.24427480916030533,131,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,hard,"{""confirm"": 2}",global,115,82,84,39,12,0.23076923076923078,39,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,hard,"{""confirm"": 2}",strat,327,51,237,53,14,0.41509433962264153,53,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,hard,"{""confirm"": 3}",global,57,66,44,21,8,0.2857142857142857,21,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.98,hard,"{""confirm"": 3}",strat,71,29,55,26,6,0.46153846153846156,26,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,excursion,"{""m"": 2, ""k"": 3}",global,129,84,92,42,13,0.23809523809523808,42,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,excursion,"{""m"": 2, ""k"": 3}",strat,371,56,268,61,15,0.45901639344262296,61,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,excursion,"{""m"": 3, ""k"": 5}",global,64,73,44,26,9,0.23076923076923078,26,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,excursion,"{""m"": 3, ""k"": 5}",strat,88,31,68,29,7,0.4482758620689655,29,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.98,excursion,"{""m"": 4, ""k"": 6}",global,33,52,20,6,3,0.3333333333333333,6,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,low,0.98,excursion,"{""m"": 4, ""k"": 6}",strat,28,16,24,13,2,0.38461538461538464,13,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,hard,"{""confirm"": 1}",global,138,79,83,34,8,0.23529411764705882,34,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,hard,"{""confirm"": 1}",strat,1144,84,838,91,40,0.3076923076923077,91,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,hard,"{""confirm"": 2}",global,44,64,34,17,2,0.35294117647058826,17,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.99,hard,"{""confirm"": 2}",strat,136,29,106,33,6,0.3939393939393939,33,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,hard,"{""confirm"": 3}",global,15,43,9,12,1,0.4166666666666667,12,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.99,hard,"{""confirm"": 3}",strat,31,16,25,14,4,0.35714285714285715,14,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,excursion,"{""m"": 2, ""k"": 3}",global,44,66,34,18,3,0.3333333333333333,18,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.99,excursion,"{""m"": 2, ""k"": 3}",strat,147,35,116,39,6,0.48717948717948717,39,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,excursion,"{""m"": 3, ""k"": 5}",global,18,52,12,13,1,0.38461538461538464,13,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.99,excursion,"{""m"": 3, ""k"": 5}",strat,35,17,28,16,4,0.4375,16,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.99,excursion,"{""m"": 4, ""k"": 6}",global,5,26,2,4,1,0.5,4,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,low,0.99,excursion,"{""m"": 4, ""k"": 6}",strat,12,4,10,1,0,1.0,1,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,low,0.995,hard,"{""confirm"": 1}",global,69,65,41,16,1,0.3125,16,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.995,hard,"{""confirm"": 1}",strat,589,63,430,57,19,0.40350877192982454,57,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.995,hard,"{""confirm"": 2}",global,11,42,11,8,0,0.375,8,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.995,hard,"{""confirm"": 2}",strat,62,15,53,19,3,0.3684210526315789,19,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.995,hard,"{""confirm"": 3}",global,4,22,2,3,0,0.3333333333333333,3,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,low,0.995,hard,"{""confirm"": 3}",strat,13,10,11,6,2,0.6666666666666666,6,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.995,excursion,"{""m"": 2, ""k"": 3}",global,11,43,11,8,0,0.375,8,pick_up_the_milk_and_place_it_in_the_basket
set_inflow_all,low,0.995,excursion,"{""m"": 2, ""k"": 3}",strat,68,18,59,23,4,0.43478260869565216,23,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.995,excursion,"{""m"": 3, ""k"": 5}",global,4,28,2,3,0,0.3333333333333333,3,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,low,0.995,excursion,"{""m"": 3, ""k"": 5}",strat,15,11,13,7,2,0.7142857142857143,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate
set_inflow_all,low,0.995,excursion,"{""m"": 4, ""k"": 6}",global,2,7,0,1,0,1.0,1,KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it
set_inflow_all,low,0.995,excursion,"{""m"": 4, ""k"": 6}",strat,5,2,4,0,0,0.0,0,-
set_outflow_all,high,0.9,hard,"{""confirm"": 1}",global,9956,78,7825,158,162,0.2848101265822785,158,open_the_top_drawer_and_put_the_bowl_inside
set_outflow_all,high,0.9,hard,"{""confirm"": 1}",strat,9919,112,7898,208,207,0.25,208,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.9,hard,"{""confirm"": 2}",global,3275,19,2347,36,43,0.16666666666666666,36,pick_up_the_milk_and_place_it_in_the_basket
set_outflow_all,high,0.9,hard,"{""confirm"": 2}",strat,3206,34,2692,71,72,0.4084507042253521,71,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.9,hard,"{""confirm"": 3}",global,341,1,138,3,4,0.3333333333333333,3,pick_up_the_bbq_sauce_and_place_it_in_the_basket
set_outflow_all,high,0.9,hard,"{""confirm"": 3}",strat,365,2,268,5,4,0.6,5,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.9,excursion,"{""m"": 2, ""k"": 3}",global,3963,19,2857,41,47,0.14634146341463414,41,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_outflow_all,high,0.9,excursion,"{""m"": 2, ""k"": 3}",strat,3676,37,2972,79,80,0.3924050632911392,79,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.9,excursion,"{""m"": 3, ""k"": 5}",global,1180,8,581,14,15,0.21428571428571427,14,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_outflow_all,high,0.9,excursion,"{""m"": 3, ""k"": 5}",strat,742,8,441,15,11,0.4,15,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.9,excursion,"{""m"": 4, ""k"": 6}",global,325,5,71,9,11,0.3333333333333333,9,put_the_bowl_on_the_plate
set_outflow_all,high,0.9,excursion,"{""m"": 4, ""k"": 6}",strat,94,4,39,4,4,0.25,4,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.95,hard,"{""confirm"": 1}",global,6662,40,4695,85,82,0.2,85,open_the_top_drawer_and_put_the_bowl_inside
set_outflow_all,high,0.95,hard,"{""confirm"": 1}",strat,6811,79,5126,147,138,0.2925170068027211,147,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.95,hard,"{""confirm"": 2}",global,1056,4,836,15,17,0.2,15,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_outflow_all,high,0.95,hard,"{""confirm"": 2}",strat,1090,7,937,17,19,0.5294117647058824,17,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.95,hard,"{""confirm"": 3}",global,35,0,18,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.95,hard,"{""confirm"": 3}",strat,38,1,23,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.95,excursion,"{""m"": 2, ""k"": 3}",global,1288,5,919,17,18,0.29411764705882354,17,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate
set_outflow_all,high,0.95,excursion,"{""m"": 2, ""k"": 3}",strat,1242,9,1001,17,20,0.5294117647058824,17,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.95,excursion,"{""m"": 3, ""k"": 5}",global,165,2,53,5,5,0.4,5,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.95,excursion,"{""m"": 3, ""k"": 5}",strat,88,1,44,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.95,excursion,"{""m"": 4, ""k"": 6}",global,18,0,5,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.95,excursion,"{""m"": 4, ""k"": 6}",strat,12,1,3,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.96,hard,"{""confirm"": 1}",global,5730,30,3949,67,64,0.14925373134328357,67,open_the_top_drawer_and_put_the_bowl_inside
set_outflow_all,high,0.96,hard,"{""confirm"": 1}",strat,5854,70,4346,128,116,0.3046875,128,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.96,hard,"{""confirm"": 2}",global,732,0,597,8,8,0.25,8,pick_up_the_bbq_sauce_and_place_it_in_the_basket
set_outflow_all,high,0.96,hard,"{""confirm"": 2}",strat,743,6,636,11,13,0.5454545454545454,11,KITCHEN_SCENE8_put_both_moka_pots_on_the_stove
set_outflow_all,high,0.96,hard,"{""confirm"": 3}",global,25,0,12,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
set_outflow_all,high,0.96,hard,"{""confirm"": 3}",strat,21,0,15,1,1,1.0,1,put_the_cream_cheese_in_the_bowl
