level,cohort,suite,task,method,k,failure,episodes,scorable,ratio_bin,count
all,all,all,all,euclidean,1,True,1096,1096,>2,437
all,all,all,all,euclidean,2,True,1096,1096,unscorable,0
all,all,all,all,euclidean,2,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,2,True,1096,1096,"(0.5,1]",102
all,all,all,all,euclidean,2,True,1096,1096,"(1,1.5]",298
all,all,all,all,euclidean,2,True,1096,1096,"(1.5,2]",260
all,all,all,all,euclidean,2,True,1096,1096,>2,436
all,all,all,all,euclidean,3,True,1096,1096,unscorable,0
all,all,all,all,euclidean,3,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,3,True,1096,1096,"(0.5,1]",88
all,all,all,all,euclidean,3,True,1096,1096,"(1,1.5]",260
all,all,all,all,euclidean,3,True,1096,1096,"(1.5,2]",294
all,all,all,all,euclidean,3,True,1096,1096,>2,454
all,all,all,all,euclidean,4,True,1096,1096,unscorable,0
all,all,all,all,euclidean,4,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,4,True,1096,1096,"(0.5,1]",82
all,all,all,all,euclidean,4,True,1096,1096,"(1,1.5]",254
all,all,all,all,euclidean,4,True,1096,1096,"(1.5,2]",256
all,all,all,all,euclidean,4,True,1096,1096,>2,504
all,all,all,all,euclidean,5,True,1096,1096,unscorable,0
all,all,all,all,euclidean,5,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,5,True,1096,1096,"(0.5,1]",77
all,all,all,all,euclidean,5,True,1096,1096,"(1,1.5]",247
all,all,all,all,euclidean,5,True,1096,1096,"(1.5,2]",229
all,all,all,all,euclidean,5,True,1096,1096,>2,543
all,all,all,all,euclidean,6,True,1096,1096,unscorable,0
all,all,all,all,euclidean,6,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,6,True,1096,1096,"(0.5,1]",77
all,all,all,all,euclidean,6,True,1096,1096,"(1,1.5]",234
all,all,all,all,euclidean,6,True,1096,1096,"(1.5,2]",222
all,all,all,all,euclidean,6,True,1096,1096,>2,563
all,all,all,all,euclidean,7,True,1096,1096,unscorable,0
all,all,all,all,euclidean,7,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,7,True,1096,1096,"(0.5,1]",76
all,all,all,all,euclidean,7,True,1096,1096,"(1,1.5]",224
all,all,all,all,euclidean,7,True,1096,1096,"(1.5,2]",231
all,all,all,all,euclidean,7,True,1096,1096,>2,565
all,all,all,all,euclidean,8,True,1096,1096,unscorable,0
all,all,all,all,euclidean,8,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,8,True,1096,1096,"(0.5,1]",77
all,all,all,all,euclidean,8,True,1096,1096,"(1,1.5]",224
all,all,all,all,euclidean,8,True,1096,1096,"(1.5,2]",227
all,all,all,all,euclidean,8,True,1096,1096,>2,568
all,all,all,all,euclidean,9,True,1096,1096,unscorable,0
all,all,all,all,euclidean,9,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,9,True,1096,1096,"(0.5,1]",81
all,all,all,all,euclidean,9,True,1096,1096,"(1,1.5]",224
all,all,all,all,euclidean,9,True,1096,1096,"(1.5,2]",223
all,all,all,all,euclidean,9,True,1096,1096,>2,568
all,all,all,all,euclidean,10,True,1096,1096,unscorable,0
all,all,all,all,euclidean,10,True,1096,1096,<=0.5,0
all,all,all,all,euclidean,10,True,1096,1096,"(0.5,1]",85
all,all,all,all,euclidean,10,True,1096,1096,"(1,1.5]",225
all,all,all,all,euclidean,10,True,1096,1096,"(1.5,2]",218
all,all,all,all,euclidean,10,True,1096,1096,>2,568
all,all,all,all,euclidean,20,True,1096,1096,unscorable,0
all,all,all,all,euclidean,20,True,1096,1096,<=0.5,1
all,all,all,all,euclidean,20,True,1096,1096,"(0.5,1]",118
all,all,all,all,euclidean,20,True,1096,1096,"(1,1.5]",222
all,all,all,all,euclidean,20,True,1096,1096,"(1.5,2]",222
all,all,all,all,euclidean,20,True,1096,1096,>2,533
cohort,A,all,all,euclidean,1,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,1,False,15468,15331,<=0.5,5739
cohort,A,all,all,euclidean,1,False,15468,15331,"(0.5,1]",7975
cohort,A,all,all,euclidean,1,False,15468,15331,"(1,1.5]",1220
cohort,A,all,all,euclidean,1,False,15468,15331,"(1.5,2]",236
cohort,A,all,all,euclidean,1,False,15468,15331,>2,161
cohort,A,all,all,euclidean,2,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,2,False,15468,15331,<=0.5,5833
cohort,A,all,all,euclidean,2,False,15468,15331,"(0.5,1]",7933
cohort,A,all,all,euclidean,2,False,15468,15331,"(1,1.5]",1179
cohort,A,all,all,euclidean,2,False,15468,15331,"(1.5,2]",225
cohort,A,all,all,euclidean,2,False,15468,15331,>2,161
cohort,A,all,all,euclidean,3,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,3,False,15468,15331,<=0.5,5950
cohort,A,all,all,euclidean,3,False,15468,15331,"(0.5,1]",7841
cohort,A,all,all,euclidean,3,False,15468,15331,"(1,1.5]",1155
cohort,A,all,all,euclidean,3,False,15468,15331,"(1.5,2]",220
cohort,A,all,all,euclidean,3,False,15468,15331,>2,165
cohort,A,all,all,euclidean,4,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,4,False,15468,15331,<=0.5,6013
cohort,A,all,all,euclidean,4,False,15468,15331,"(0.5,1]",7801
cohort,A,all,all,euclidean,4,False,15468,15331,"(1,1.5]",1136
cohort,A,all,all,euclidean,4,False,15468,15331,"(1.5,2]",223
cohort,A,all,all,euclidean,4,False,15468,15331,>2,158
cohort,A,all,all,euclidean,5,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,5,False,15468,15331,<=0.5,6059
cohort,A,all,all,euclidean,5,False,15468,15331,"(0.5,1]",7769
cohort,A,all,all,euclidean,5,False,15468,15331,"(1,1.5]",1125
cohort,A,all,all,euclidean,5,False,15468,15331,"(1.5,2]",223
cohort,A,all,all,euclidean,5,False,15468,15331,>2,155
cohort,A,all,all,euclidean,6,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,6,False,15468,15331,<=0.5,6150
cohort,A,all,all,euclidean,6,False,15468,15331,"(0.5,1]",7689
cohort,A,all,all,euclidean,6,False,15468,15331,"(1,1.5]",1114
cohort,A,all,all,euclidean,6,False,15468,15331,"(1.5,2]",230
cohort,A,all,all,euclidean,6,False,15468,15331,>2,148
cohort,A,all,all,euclidean,7,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,7,False,15468,15331,<=0.5,6169
cohort,A,all,all,euclidean,7,False,15468,15331,"(0.5,1]",7667
cohort,A,all,all,euclidean,7,False,15468,15331,"(1,1.5]",1116
cohort,A,all,all,euclidean,7,False,15468,15331,"(1.5,2]",229
cohort,A,all,all,euclidean,7,False,15468,15331,>2,150
cohort,A,all,all,euclidean,8,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,8,False,15468,15331,<=0.5,6242
cohort,A,all,all,euclidean,8,False,15468,15331,"(0.5,1]",7602
cohort,A,all,all,euclidean,8,False,15468,15331,"(1,1.5]",1109
cohort,A,all,all,euclidean,8,False,15468,15331,"(1.5,2]",226
cohort,A,all,all,euclidean,8,False,15468,15331,>2,152
cohort,A,all,all,euclidean,9,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,9,False,15468,15331,<=0.5,6347
cohort,A,all,all,euclidean,9,False,15468,15331,"(0.5,1]",7524
cohort,A,all,all,euclidean,9,False,15468,15331,"(1,1.5]",1083
cohort,A,all,all,euclidean,9,False,15468,15331,"(1.5,2]",224
cohort,A,all,all,euclidean,9,False,15468,15331,>2,153
cohort,A,all,all,euclidean,10,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,10,False,15468,15331,<=0.5,6441
cohort,A,all,all,euclidean,10,False,15468,15331,"(0.5,1]",7441
cohort,A,all,all,euclidean,10,False,15468,15331,"(1,1.5]",1077
cohort,A,all,all,euclidean,10,False,15468,15331,"(1.5,2]",218
cohort,A,all,all,euclidean,10,False,15468,15331,>2,154
cohort,A,all,all,euclidean,20,False,15468,15331,unscorable,137
cohort,A,all,all,euclidean,20,False,15468,15331,<=0.5,7240
cohort,A,all,all,euclidean,20,False,15468,15331,"(0.5,1]",6742
cohort,A,all,all,euclidean,20,False,15468,15331,"(1,1.5]",975
cohort,A,all,all,euclidean,20,False,15468,15331,"(1.5,2]",234
cohort,A,all,all,euclidean,20,False,15468,15331,>2,140
cohort,A,all,all,euclidean,1,True,532,532,unscorable,0
cohort,A,all,all,euclidean,1,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,1,True,532,532,"(0.5,1]",55
cohort,A,all,all,euclidean,1,True,532,532,"(1,1.5]",156
cohort,A,all,all,euclidean,1,True,532,532,"(1.5,2]",100
cohort,A,all,all,euclidean,1,True,532,532,>2,221
cohort,A,all,all,euclidean,2,True,532,532,unscorable,0
cohort,A,all,all,euclidean,2,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,2,True,532,532,"(0.5,1]",51
cohort,A,all,all,euclidean,2,True,532,532,"(1,1.5]",143
cohort,A,all,all,euclidean,2,True,532,532,"(1.5,2]",120
cohort,A,all,all,euclidean,2,True,532,532,>2,218
cohort,A,all,all,euclidean,3,True,532,532,unscorable,0
cohort,A,all,all,euclidean,3,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,3,True,532,532,"(0.5,1]",40
cohort,A,all,all,euclidean,3,True,532,532,"(1,1.5]",128
cohort,A,all,all,euclidean,3,True,532,532,"(1.5,2]",142
cohort,A,all,all,euclidean,3,True,532,532,>2,222
cohort,A,all,all,euclidean,4,True,532,532,unscorable,0
cohort,A,all,all,euclidean,4,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,4,True,532,532,"(0.5,1]",37
cohort,A,all,all,euclidean,4,True,532,532,"(1,1.5]",125
cohort,A,all,all,euclidean,4,True,532,532,"(1.5,2]",127
cohort,A,all,all,euclidean,4,True,532,532,>2,243
cohort,A,all,all,euclidean,5,True,532,532,unscorable,0
cohort,A,all,all,euclidean,5,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,5,True,532,532,"(0.5,1]",35
cohort,A,all,all,euclidean,5,True,532,532,"(1,1.5]",123
cohort,A,all,all,euclidean,5,True,532,532,"(1.5,2]",111
cohort,A,all,all,euclidean,5,True,532,532,>2,263
cohort,A,all,all,euclidean,6,True,532,532,unscorable,0
cohort,A,all,all,euclidean,6,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,6,True,532,532,"(0.5,1]",34
cohort,A,all,all,euclidean,6,True,532,532,"(1,1.5]",120
cohort,A,all,all,euclidean,6,True,532,532,"(1.5,2]",105
cohort,A,all,all,euclidean,6,True,532,532,>2,273
cohort,A,all,all,euclidean,7,True,532,532,unscorable,0
cohort,A,all,all,euclidean,7,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,7,True,532,532,"(0.5,1]",33
cohort,A,all,all,euclidean,7,True,532,532,"(1,1.5]",116
cohort,A,all,all,euclidean,7,True,532,532,"(1.5,2]",110
cohort,A,all,all,euclidean,7,True,532,532,>2,273
cohort,A,all,all,euclidean,8,True,532,532,unscorable,0
cohort,A,all,all,euclidean,8,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,8,True,532,532,"(0.5,1]",32
cohort,A,all,all,euclidean,8,True,532,532,"(1,1.5]",117
cohort,A,all,all,euclidean,8,True,532,532,"(1.5,2]",107
cohort,A,all,all,euclidean,8,True,532,532,>2,276
cohort,A,all,all,euclidean,9,True,532,532,unscorable,0
cohort,A,all,all,euclidean,9,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,9,True,532,532,"(0.5,1]",34
cohort,A,all,all,euclidean,9,True,532,532,"(1,1.5]",115
cohort,A,all,all,euclidean,9,True,532,532,"(1.5,2]",108
cohort,A,all,all,euclidean,9,True,532,532,>2,275
cohort,A,all,all,euclidean,10,True,532,532,unscorable,0
cohort,A,all,all,euclidean,10,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,10,True,532,532,"(0.5,1]",37
cohort,A,all,all,euclidean,10,True,532,532,"(1,1.5]",113
cohort,A,all,all,euclidean,10,True,532,532,"(1.5,2]",106
cohort,A,all,all,euclidean,10,True,532,532,>2,276
cohort,A,all,all,euclidean,20,True,532,532,unscorable,0
cohort,A,all,all,euclidean,20,True,532,532,<=0.5,0
cohort,A,all,all,euclidean,20,True,532,532,"(0.5,1]",54
cohort,A,all,all,euclidean,20,True,532,532,"(1,1.5]",115
cohort,A,all,all,euclidean,20,True,532,532,"(1.5,2]",104
cohort,A,all,all,euclidean,20,True,532,532,>2,259
cohort,B,all,all,euclidean,1,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,1,False,15436,15299,<=0.5,5707
cohort,B,all,all,euclidean,1,False,15436,15299,"(0.5,1]",7871
cohort,B,all,all,euclidean,1,False,15436,15299,"(1,1.5]",1308
cohort,B,all,all,euclidean,1,False,15436,15299,"(1.5,2]",216
cohort,B,all,all,euclidean,1,False,15436,15299,>2,197
cohort,B,all,all,euclidean,2,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,2,False,15436,15299,<=0.5,5829
cohort,B,all,all,euclidean,2,False,15436,15299,"(0.5,1]",7811
cohort,B,all,all,euclidean,2,False,15436,15299,"(1,1.5]",1262
cohort,B,all,all,euclidean,2,False,15436,15299,"(1.5,2]",198
cohort,B,all,all,euclidean,2,False,15436,15299,>2,199
cohort,B,all,all,euclidean,3,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,3,False,15436,15299,<=0.5,5977
cohort,B,all,all,euclidean,3,False,15436,15299,"(0.5,1]",7691
cohort,B,all,all,euclidean,3,False,15436,15299,"(1,1.5]",1229
cohort,B,all,all,euclidean,3,False,15436,15299,"(1.5,2]",201
cohort,B,all,all,euclidean,3,False,15436,15299,>2,201
cohort,B,all,all,euclidean,4,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,4,False,15436,15299,<=0.5,6020
cohort,B,all,all,euclidean,4,False,15436,15299,"(0.5,1]",7673
cohort,B,all,all,euclidean,4,False,15436,15299,"(1,1.5]",1204
cohort,B,all,all,euclidean,4,False,15436,15299,"(1.5,2]",202
cohort,B,all,all,euclidean,4,False,15436,15299,>2,200
cohort,B,all,all,euclidean,5,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,5,False,15436,15299,<=0.5,6103
cohort,B,all,all,euclidean,5,False,15436,15299,"(0.5,1]",7608
cohort,B,all,all,euclidean,5,False,15436,15299,"(1,1.5]",1185
cohort,B,all,all,euclidean,5,False,15436,15299,"(1.5,2]",208
cohort,B,all,all,euclidean,5,False,15436,15299,>2,195
cohort,B,all,all,euclidean,6,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,6,False,15436,15299,<=0.5,6172
cohort,B,all,all,euclidean,6,False,15436,15299,"(0.5,1]",7555
cohort,B,all,all,euclidean,6,False,15436,15299,"(1,1.5]",1170
cohort,B,all,all,euclidean,6,False,15436,15299,"(1.5,2]",211
cohort,B,all,all,euclidean,6,False,15436,15299,>2,191
cohort,B,all,all,euclidean,7,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,7,False,15436,15299,<=0.5,6175
cohort,B,all,all,euclidean,7,False,15436,15299,"(0.5,1]",7551
cohort,B,all,all,euclidean,7,False,15436,15299,"(1,1.5]",1170
cohort,B,all,all,euclidean,7,False,15436,15299,"(1.5,2]",210
cohort,B,all,all,euclidean,7,False,15436,15299,>2,193
cohort,B,all,all,euclidean,8,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,8,False,15436,15299,<=0.5,6243
cohort,B,all,all,euclidean,8,False,15436,15299,"(0.5,1]",7511
cohort,B,all,all,euclidean,8,False,15436,15299,"(1,1.5]",1141
cohort,B,all,all,euclidean,8,False,15436,15299,"(1.5,2]",212
cohort,B,all,all,euclidean,8,False,15436,15299,>2,192
cohort,B,all,all,euclidean,9,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,9,False,15436,15299,<=0.5,6327
cohort,B,all,all,euclidean,9,False,15436,15299,"(0.5,1]",7448
cohort,B,all,all,euclidean,9,False,15436,15299,"(1,1.5]",1123
cohort,B,all,all,euclidean,9,False,15436,15299,"(1.5,2]",208
cohort,B,all,all,euclidean,9,False,15436,15299,>2,193
cohort,B,all,all,euclidean,10,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,10,False,15436,15299,<=0.5,6401
cohort,B,all,all,euclidean,10,False,15436,15299,"(0.5,1]",7388
cohort,B,all,all,euclidean,10,False,15436,15299,"(1,1.5]",1105
cohort,B,all,all,euclidean,10,False,15436,15299,"(1.5,2]",212
cohort,B,all,all,euclidean,10,False,15436,15299,>2,193
cohort,B,all,all,euclidean,20,False,15436,15299,unscorable,137
cohort,B,all,all,euclidean,20,False,15436,15299,<=0.5,7243
cohort,B,all,all,euclidean,20,False,15436,15299,"(0.5,1]",6651
cohort,B,all,all,euclidean,20,False,15436,15299,"(1,1.5]",1015
cohort,B,all,all,euclidean,20,False,15436,15299,"(1.5,2]",219
cohort,B,all,all,euclidean,20,False,15436,15299,>2,171
cohort,B,all,all,euclidean,1,True,564,564,unscorable,0
cohort,B,all,all,euclidean,1,True,564,564,<=0.5,1
cohort,B,all,all,euclidean,1,True,564,564,"(0.5,1]",57
cohort,B,all,all,euclidean,1,True,564,564,"(1,1.5]",159
cohort,B,all,all,euclidean,1,True,564,564,"(1.5,2]",131
cohort,B,all,all,euclidean,1,True,564,564,>2,216
cohort,B,all,all,euclidean,2,True,564,564,unscorable,0
cohort,B,all,all,euclidean,2,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,2,True,564,564,"(0.5,1]",51
cohort,B,all,all,euclidean,2,True,564,564,"(1,1.5]",155
cohort,B,all,all,euclidean,2,True,564,564,"(1.5,2]",140
cohort,B,all,all,euclidean,2,True,564,564,>2,218
cohort,B,all,all,euclidean,3,True,564,564,unscorable,0
cohort,B,all,all,euclidean,3,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,3,True,564,564,"(0.5,1]",48
cohort,B,all,all,euclidean,3,True,564,564,"(1,1.5]",132
cohort,B,all,all,euclidean,3,True,564,564,"(1.5,2]",152
cohort,B,all,all,euclidean,3,True,564,564,>2,232
cohort,B,all,all,euclidean,4,True,564,564,unscorable,0
cohort,B,all,all,euclidean,4,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,4,True,564,564,"(0.5,1]",45
cohort,B,all,all,euclidean,4,True,564,564,"(1,1.5]",129
cohort,B,all,all,euclidean,4,True,564,564,"(1.5,2]",129
cohort,B,all,all,euclidean,4,True,564,564,>2,261
cohort,B,all,all,euclidean,5,True,564,564,unscorable,0
cohort,B,all,all,euclidean,5,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,5,True,564,564,"(0.5,1]",42
cohort,B,all,all,euclidean,5,True,564,564,"(1,1.5]",124
cohort,B,all,all,euclidean,5,True,564,564,"(1.5,2]",118
cohort,B,all,all,euclidean,5,True,564,564,>2,280
cohort,B,all,all,euclidean,6,True,564,564,unscorable,0
cohort,B,all,all,euclidean,6,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,6,True,564,564,"(0.5,1]",43
cohort,B,all,all,euclidean,6,True,564,564,"(1,1.5]",114
cohort,B,all,all,euclidean,6,True,564,564,"(1.5,2]",117
cohort,B,all,all,euclidean,6,True,564,564,>2,290
cohort,B,all,all,euclidean,7,True,564,564,unscorable,0
cohort,B,all,all,euclidean,7,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,7,True,564,564,"(0.5,1]",43
cohort,B,all,all,euclidean,7,True,564,564,"(1,1.5]",108
cohort,B,all,all,euclidean,7,True,564,564,"(1.5,2]",121
cohort,B,all,all,euclidean,7,True,564,564,>2,292
cohort,B,all,all,euclidean,8,True,564,564,unscorable,0
cohort,B,all,all,euclidean,8,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,8,True,564,564,"(0.5,1]",45
cohort,B,all,all,euclidean,8,True,564,564,"(1,1.5]",107
cohort,B,all,all,euclidean,8,True,564,564,"(1.5,2]",120
cohort,B,all,all,euclidean,8,True,564,564,>2,292
cohort,B,all,all,euclidean,9,True,564,564,unscorable,0
cohort,B,all,all,euclidean,9,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,9,True,564,564,"(0.5,1]",47
cohort,B,all,all,euclidean,9,True,564,564,"(1,1.5]",109
cohort,B,all,all,euclidean,9,True,564,564,"(1.5,2]",115
cohort,B,all,all,euclidean,9,True,564,564,>2,293
cohort,B,all,all,euclidean,10,True,564,564,unscorable,0
cohort,B,all,all,euclidean,10,True,564,564,<=0.5,0
cohort,B,all,all,euclidean,10,True,564,564,"(0.5,1]",48
cohort,B,all,all,euclidean,10,True,564,564,"(1,1.5]",112
cohort,B,all,all,euclidean,10,True,564,564,"(1.5,2]",112
cohort,B,all,all,euclidean,10,True,564,564,>2,292
cohort,B,all,all,euclidean,20,True,564,564,unscorable,0
cohort,B,all,all,euclidean,20,True,564,564,<=0.5,1
cohort,B,all,all,euclidean,20,True,564,564,"(0.5,1]",64
cohort,B,all,all,euclidean,20,True,564,564,"(1,1.5]",107
cohort,B,all,all,euclidean,20,True,564,564,"(1.5,2]",118
cohort,B,all,all,euclidean,20,True,564,564,>2,274
suite,all,libero_goal,all,euclidean,1,False,7792,7548,unscorable,244
suite,all,libero_goal,all,euclidean,1,False,7792,7548,<=0.5,2466
suite,all,libero_goal,all,euclidean,1,False,7792,7548,"(0.5,1]",3101
suite,all,libero_goal,all,euclidean,1,False,7792,7548,"(1,1.5]",1249
suite,all,libero_goal,all,euclidean,1,False,7792,7548,"(1.5,2]",382
suite,all,libero_goal,all,euclidean,1,False,7792,7548,>2,350
suite,all,libero_goal,all,euclidean,2,False,7792,7548,unscorable,244
suite,all,libero_goal,all,euclidean,2,False,7792,7548,<=0.5,2425
suite,all,libero_goal,all,euclidean,2,False,7792,7548,"(0.5,1]",3190
suite,all,libero_goal,all,euclidean,2,False,7792,7548,"(1,1.5]",1218
suite,all,libero_goal,all,euclidean,2,False,7792,7548,"(1.5,2]",364
suite,all,libero_goal,all,euclidean,2,False,7792,7548,>2,351
suite,all,libero_goal,all,euclidean,3,False,7792,7548,unscorable,244
suite,all,libero_goal,all,euclidean,3,False,7792,7548,<=0.5,2407
suite,all,libero_goal,all,euclidean,3,False,7792,7548,"(0.5,1]",3196
suite,all,libero_goal,all,euclidean,3,False,7792,7548,"(1,1.5]",1222
suite,all,libero_goal,all,euclidean,3,False,7792,7548,"(1.5,2]",366
suite,all,libero_goal,all,euclidean,3,False,7792,7548,>2,357
suite,all,libero_goal,all,euclidean,4,False,7792,7548,unscorable,244
suite,all,libero_goal,all,euclidean,4,False,7792,7548,<=0.5,2386
suite,all,libero_goal,all,euclidean,4,False,7792,7548,"(0.5,1]",3223
suite,all,libero_goal,all,euclidean,4,False,7792,7548,"(1,1.5]",1223
suite,all,libero_goal,all,euclidean,4,False,7792,7548,"(1.5,2]",367
suite,all,libero_goal,all,euclidean,4,False,7792,7548,>2,349
suite,all,libero_goal,all,euclidean,5,False,7792,7548,unscorable,244
