direction,task,episode,onset_query,onset_type,first_alarm_query_combined,delta_combined,near_active_combined,first_alarm_query_lock_in,delta_lock_in,near_active_lock_in,first_alarm_query_instability,delta_instability,near_active_instability,first_alarm_query_state_action_decoupling,delta_state_action_decoupling,near_active_state_action_decoupling,first_alarm_query_clock,delta_clock,near_active_clock,first_alarm_query_matched_clock,delta_matched_clock,near_active_matched_clock
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,106,22,goal_regression,27.0,5.0,False,27.0,5.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,109,22,goal_regression,27.0,5.0,False,27.0,5.0,False,25.0,3.0,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,116,28,stagnation,23.0,-5.0,False,23.0,-5.0,False,51.0,23.0,False,,,False,41.0,13.0,False,24.0,-4.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,117,24,goal_regression,30.0,6.0,False,30.0,6.0,False,,,False,,,False,41.0,17.0,False,24.0,0.0,True
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,133,27,goal_regression,42.0,15.0,False,42.0,15.0,False,8.0,-19.0,False,,,False,41.0,14.0,False,24.0,-3.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,168,37,stagnation,24.0,-13.0,False,24.0,-13.0,False,,,False,,,False,41.0,4.0,False,24.0,-13.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,170,20,goal_regression,27.0,7.0,False,27.0,7.0,False,,,False,,,False,41.0,21.0,False,24.0,4.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,171,21,goal_regression,25.0,4.0,False,25.0,4.0,False,,,False,,,False,41.0,20.0,False,24.0,3.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,173,40,stagnation,24.0,-16.0,False,24.0,-16.0,False,,,False,,,False,41.0,1.0,False,24.0,-16.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,174,22,goal_regression,,,False,,,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,185,27,stagnation,29.0,2.0,False,29.0,2.0,False,,,False,,,False,41.0,14.0,False,24.0,-3.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,186,22,goal_regression,29.0,7.0,False,29.0,7.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,212,30,stagnation,29.0,-1.0,True,29.0,-1.0,True,,,False,,,False,41.0,11.0,False,24.0,-6.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,214,22,goal_regression,28.0,6.0,False,28.0,6.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,217,22,goal_regression,29.0,7.0,False,29.0,7.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,218,22,goal_regression,30.0,8.0,False,30.0,8.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,219,22,goal_regression,29.0,7.0,False,29.0,7.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,220,22,goal_regression,29.0,7.0,False,29.0,7.0,False,42.0,20.0,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,221,22,goal_regression,29.0,7.0,False,29.0,7.0,False,49.0,27.0,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,222,22,goal_regression,29.0,7.0,False,29.0,7.0,False,46.0,24.0,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,223,22,goal_regression,28.0,6.0,False,28.0,6.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,237,36,stagnation,23.0,-13.0,True,23.0,-13.0,True,,,False,,,False,41.0,5.0,False,24.0,-12.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,241,22,goal_regression,31.0,9.0,False,31.0,9.0,False,,,False,,,False,41.0,19.0,False,24.0,2.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,246,26,stagnation,28.0,2.0,False,28.0,2.0,False,,,False,,,False,41.0,15.0,False,24.0,-2.0,True
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,281,32,subtask_undo,,,False,,,False,,,False,,,False,41.0,9.0,False,24.0,-8.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,299,23,goal_regression,30.0,7.0,False,30.0,7.0,False,,,False,,,False,41.0,18.0,False,24.0,1.0,False
seed1008_1015_to_seed1000_1007,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,327,27,goal_regression,43.0,16.0,False,43.0,16.0,False,,,False,,,False,41.0,14.0,False,24.0,-3.0,False
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,70,20,stagnation,16.0,-4.0,True,16.0,-4.0,True,,,False,,,False,,,False,24.0,4.0,False
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,107,6,goal_regression,10.0,4.0,False,10.0,4.0,False,,,False,,,False,,,False,24.0,18.0,False
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,119,11,goal_regression,17.0,6.0,False,17.0,6.0,False,,,False,,,False,,,False,24.0,13.0,False
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,175,11,goal_regression,18.0,7.0,False,18.0,7.0,False,,,False,,,False,,,False,24.0,13.0,False
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,288,10,goal_regression,16.0,6.0,False,16.0,6.0,False,,,False,,,False,,,False,24.0,14.0,False
seed1008_1015_to_seed1000_1007,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,307,9,goal_regression,16.0,7.0,False,16.0,7.0,False,,,False,,,False,,,False,24.0,15.0,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,186,16,stagnation,16.0,0.0,True,16.0,0.0,True,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,224,17,stagnation,17.0,0.0,True,17.0,0.0,True,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,226,16,stagnation,17.0,1.0,False,17.0,1.0,False,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,229,17,stagnation,18.0,1.0,False,18.0,1.0,False,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,230,16,stagnation,7.0,-9.0,True,7.0,-9.0,True,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,264,16,stagnation,17.0,1.0,False,17.0,1.0,False,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,265,16,stagnation,16.0,0.0,True,16.0,0.0,True,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,267,17,stagnation,17.0,0.0,True,17.0,0.0,True,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,268,16,stagnation,17.0,1.0,False,17.0,1.0,False,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,269,17,stagnation,18.0,1.0,False,18.0,1.0,False,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,270,17,stagnation,17.0,0.0,True,17.0,0.0,True,,,False,,,False,,,False,,,False
seed1008_1015_to_seed1000_1007,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,310,17,stagnation,18.0,1.0,False,18.0,1.0,False,,,False,,,False,,,False,,,False
