task,query,rows,positives,negatives,pairs
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,43,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,44,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,45,3,0,3,0
KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,46,3,0,3,0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,7,160,94,66,6204
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,8,160,155,5,775
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,9,160,160,0,0
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,10,160,158,2,316
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,11,160,153,7,1071
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,12,160,137,23,3151
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,13,160,123,37,4551
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,14,160,74,86,6364
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,15,160,37,123,4551
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,16,160,24,136,3264
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,17,160,22,138,3036
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,18,160,33,127,4191
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,19,160,62,98,6076
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,20,160,83,77,6391
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,21,160,111,49,5439
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,22,159,120,39,4680
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,23,149,115,34,3910
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,24,116,85,31,2635
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,25,82,53,29,1537
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,26,51,26,25,650
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,27,40,20,20,400
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,28,34,20,14,280
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,29,32,21,11,231
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,30,30,21,9,189
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,31,26,18,8,144
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,32,21,12,9,108
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,33,15,7,8,56
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,34,12,6,6,36
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,35,10,5,5,25
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,36,9,4,5,20
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,37,9,4,5,20
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,38,8,4,4,16
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,39,6,2,4,8
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,40,5,2,3,6
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,41,5,2,3,6
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,42,5,2,3,6
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,43,4,1,3,3
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,44,4,2,2,4
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,45,4,2,2,4
KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,46,3,1,2,2
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,7,160,0,160,0
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,8,160,12,148,1776
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,9,160,50,110,5500
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,10,160,104,56,5824
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,11,160,140,20,2800
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,12,160,143,17,2431
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,13,160,123,37,4551
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,14,160,94,66,6204
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,15,160,111,49,5439
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,16,160,131,29,3799
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,17,160,130,30,3900
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,18,160,103,57,5871
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,19,160,50,110,5500
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,20,160,17,143,2431
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,21,160,1,159,159
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,22,160,0,160,0
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,23,160,0,160,0
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,24,160,0,160,0
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,25,160,2,158,316
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,26,160,15,145,2175
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,27,160,37,123,4551
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,28,160,53,107,5671
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,29,160,68,92,6256
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,30,160,62,98,6076
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,31,160,49,111,5439
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,32,160,54,106,5724
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,33,160,60,100,6000
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,34,160,76,84,6384
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,35,160,90,70,6300
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,36,156,90,66,5940
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,37,140,74,66,4884
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,38,120,55,65,3575
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,39,92,27,65,1755
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,40,77,13,64,832
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,41,72,10,62,620
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,42,71,11,60,660
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,43,69,10,59,590
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,44,67,8,59,472
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,45,66,9,57,513
KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,46,64,7,57,399
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,7,160,19,141,2679
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,8,160,37,123,4551
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,9,160,119,41,4879
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,10,160,145,15,2175
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,11,160,144,16,2304
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,12,160,109,51,5559
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,13,160,28,132,3696
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,14,160,7,153,1071
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,15,160,61,99,6039
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,16,160,107,53,5671
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,17,160,140,20,2800
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,18,160,143,17,2431
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,19,160,132,28,3696
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,20,160,141,19,2679
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,21,160,146,14,2044
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,22,160,147,13,1911
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,23,152,139,13,1807
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,24,99,86,13,1118
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,25,48,34,14,476
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,26,18,5,13,65
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,27,16,3,13,39
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,28,16,3,13,39
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,29,15,2,13,26
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,30,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,31,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,32,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,33,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,34,14,0,14,0
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,35,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,36,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,37,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,38,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,39,14,0,14,0
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,40,14,0,14,0
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,41,14,2,12,24
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,42,14,2,12,24
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,43,14,3,11,33
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,44,14,3,11,33
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,45,14,1,13,13
LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,46,14,2,12,24
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,7,160,76,84,6384
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,8,160,27,133,3591
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,9,160,53,107,5671
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,10,160,76,84,6384
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,11,160,119,41,4879
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,12,160,141,19,2679
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,13,160,105,55,5775
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,14,160,82,78,6396
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,15,160,46,114,5244
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,16,160,46,114,5244
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,17,160,81,79,6399
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,18,160,116,44,5104
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,19,160,129,31,3999
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,20,160,145,15,2175
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,21,160,141,19,2679
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,22,160,146,14,2044
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,23,160,149,11,1639
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,24,154,144,10,1440
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,25,121,111,10,1110
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,26,79,69,10,690
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,27,33,25,8,200
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,28,13,6,7,42
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,29,13,6,7,42
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,30,13,7,6,42
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,31,12,7,5,35
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,32,10,6,4,24
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,33,10,6,4,24
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,34,10,6,4,24
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,35,8,4,4,16
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,36,8,4,4,16
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,37,7,4,3,12
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,38,7,4,3,12
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,39,5,2,3,6
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,40,5,2,3,6
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,41,4,0,4,0
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,42,4,1,3,3
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,43,4,1,3,3
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,44,4,1,3,3
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,45,4,1,3,3
LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,46,4,1,3,3
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,7,160,29,131,3799
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,8,160,0,160,0
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,9,160,38,122,4636
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,10,160,131,29,3799
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,11,160,160,0,0
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,12,160,160,0,0
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,13,160,122,38,4636
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,14,160,29,131,3799
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,15,160,37,123,4551
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,16,160,103,57,5871
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,17,160,150,10,1500
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,18,160,155,5,775
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,19,160,156,4,624
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,20,160,151,9,1359
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,21,160,156,4,624
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,22,160,158,2,316
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,23,150,148,2,296
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,24,102,100,2,200
LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,25,45,44,1,44
