suite,task_id,task_dir,task_name,prompt,episode_index,init_state_id,flow_noise_seed,success,action_steps,inference_calls,control_step_offset,path,mig_uuid,mig_profile,wall_s
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,32,32,1000,1,123,13,400,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.8
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,33,33,1000,1,119,12,413,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,34,34,1000,1,126,13,425,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,35,35,1000,1,116,12,438,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,13.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,36,36,1000,1,122,13,450,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.8
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,37,37,1000,1,118,12,463,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.2
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,38,38,1000,1,130,13,475,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,15.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,39,39,1000,1,122,13,488,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.8
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,40,40,1000,1,128,13,501,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,41,41,1000,1,121,13,514,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.9
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,42,42,1000,1,107,11,527,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,13.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,43,43,1000,1,119,12,538,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,44,44,1000,1,118,12,550,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.0
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,45,45,1000,1,121,13,562,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.7
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,46,46,1000,1,119,12,575,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.1
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,47,47,1000,1,112,12,587,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,13.8
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,48,48,1000,1,111,12,599,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,13.7
goal,0,t00__open_the_middle_drawer_of_the_cabinet,open_the_middle_drawer_of_the_cabinet,open the middle drawer of the cabinet,49,49,1000,1,127,13,611,corpus/libero30-right-v1/libero_goal/t00__open_the_middle_drawer_of_the_cabinet,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.9
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,0,0,1000,1,88,9,0,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,14.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,1,1,1000,1,88,9,9,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,2,2,1000,1,83,9,18,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.5
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,3,3,1000,1,86,9,27,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,4,4,1000,1,86,9,36,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,5,5,1000,1,92,10,45,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,12.3
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,6,6,1000,1,86,9,55,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,7,7,1000,1,82,9,64,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.5
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,8,8,1000,1,82,9,73,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.5
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,9,9,1000,1,82,9,82,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.9
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,10,10,1000,1,88,9,91,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,11,11,1000,1,88,9,100,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,12,12,1000,1,83,9,109,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,13,13,1000,1,82,9,118,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,16.5
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,14,14,1000,1,83,9,127,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.8
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,15,15,1000,1,92,10,136,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,12.8
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,16,16,1000,1,87,9,146,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.9
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,17,17,1000,1,83,9,155,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,18,18,1000,1,85,9,164,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,19,19,1000,1,82,9,173,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,20,20,1000,1,84,9,182,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,21,21,1000,1,84,9,191,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,22,22,1000,1,85,9,200,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,23,23,1000,1,86,9,209,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.8
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,24,24,1000,1,84,9,218,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,25,25,1000,1,86,9,227,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,26,26,1000,1,80,8,236,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,10.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,27,27,1000,1,84,9,244,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,28,28,1000,1,83,9,253,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.5
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,29,29,1000,1,78,8,262,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,10.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,30,30,1000,1,81,9,270,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,31,31,1000,1,87,9,279,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.8
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,32,32,1000,1,81,9,288,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.4
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,33,33,1000,1,86,9,297,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,34,34,1000,1,83,9,306,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.5
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,35,35,1000,1,85,9,315,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,36,36,1000,1,85,9,324,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.8
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,37,37,1000,1,80,8,333,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,10.7
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,38,38,1000,1,84,9,341,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.6
goal,1,t01__put_the_bowl_on_the_stove,put_the_bowl_on_the_stove,put the bowl on the stove,39,39,1000,1,82,9,350,corpus/libero30-right-v1/libero_goal/t01__put_the_bowl_on_the_stove,MIG-ed0ef408-41bd-59d1-8006-30afa5a1d96a,2g.35gb,11.5
