method,threshold_mode,suite,task,episodes,risks,alarms,tp,fp,precision,recall,mean_matched_prior,lift
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,24,21,20,1,0.9523809523809523,0.8333333333333334,0.9675261833577815,0.984346438125046
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,8,5,5,0,1.0,0.625,0.9831576873830394,1.017130835503907
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,13,14,13,1,0.9285714285714286,1.0,0.9467271706544294,0.9808226248852132
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,12,16,12,4,0.75,1.0,0.7250202049308625,1.0344539295584452
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,41,32,28,4,0.875,0.6829268292682927,0.905718756775028,0.9660835590019052
v4:back_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,21,9,9,0,1.0,0.42857142857142855,0.9836173216454908,1.0166555407209612
v4:all_lock,per_task,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,0,0,0,,,,
v4:all_lock,per_task,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,48,47,1,0.9791666666666666,0.9215686274509803,0.9694021826037428,1.0100726862783589
v4:all_lock,per_task,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,1,1,0,1.0,1.0,0.9906542056074766,1.009433962264151
v4:all_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_the_plate,400,18,6,5,1,0.8333333333333334,0.2777777777777778,0.5551910793948117,1.5009847316742044
v4:all_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_the_stove,400,9,6,6,0,1.0,0.6666666666666666,0.20811946050096342,4.8049326939100485
v4:all_lock,per_task,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,16,16,0,1.0,1.0,0.20617919075144509,4.850149990187558
v4:all_lock,per_task,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,400,9,4,4,0,1.0,0.4444444444444444,0.7851255717929587,1.273681607027958
v4:all_lock,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,400,1,2,1,1,0.5,1.0,0.9464285714285714,0.5283018867924528
v4:all_lock,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,1,1,1,0,1.0,1.0,0.212,4.716981132075472
v4:all_lock,per_task,libero_goal,libero_goal/turn_on_the_stove,400,0,0,0,0,,,,
v4:all_lock,per_task,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,8,4,4,0.5,1.0,0.17658830066413816,2.831444654711153
v4:all_lock,per_task,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,7,1,6,0.14285714285714285,1.0,0.13158346955837677,1.0856769724692852
v4:all_lock,per_task,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,15,1,14,0.06666666666666667,1.0,0.16447029189627443,0.40534169361547046
v4:all_lock,per_task,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,94,89,5,0.9468085106382979,0.5894039735099338,0.5480555870224751,1.727577517788301
v4:all_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,35,29,6,0.8285714285714286,0.9666666666666667,0.12741180658544118,6.503097717367317
v4:all_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10,10,8,2,0.8,0.8,0.13547829494633512,5.905004933202705
v4:all_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,6,2,4,0.3333333333333333,0.5,0.14561558424869378,2.2891322728482164
v4:all_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,20,20,19,1,0.95,0.95,0.5135091818287331,1.8500156055960193
v4:all_lock,per_task,libero_long,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,42,32,10,0.7619047619047619,0.6808510638297872,0.523783617420424,1.4546173965063245
v4:all_lock,per_task,libero_long,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,6,23,6,17,0.2608695652173913,1.0,0.18895570258646002,1.380585828564903
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,2,2,0,1.0,0.6666666666666666,0.9365942028985508,1.0676982591876207
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,5,5,0,1.0,0.5,0.7573633226780089,1.320370250389254
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0,0,0,0,,,,
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,7,0,0,0,,0.0,,
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,1,1,0,1.0,1.0,0.9166666666666666,1.090909090909091
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,7,3,3,0,1.0,0.42857142857142855,0.868840579710145,1.1509591326105086
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5,2,1,1,0.5,0.2,0.5358974358974359,0.9330143540669856
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,4,3,3,0,1.0,0.75,0.701727738750712,1.4250541125541125
v4:all_lock,per_task,libero_object,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,2,2,0,1.0,0.2857142857142857,0.3007482191359606,3.3250404703075747
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,0,0,0,,0.0,,
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,3,3,3,0,1.0,1.0,0.9633128641158873,1.0380843412880025
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,14,12,12,0,1.0,0.8571428571428571,0.9774230680010182,1.023098423536448
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,0,0,0,,0.0,,
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,24,19,18,1,0.9473684210526315,0.75,0.970203481394437,0.9764636380102599
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,8,5,5,0,1.0,0.625,0.9817787845956861,1.018559390048154
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,13,14,13,1,0.9285714285714286,1.0,0.9547106513838411,0.9726207906295755
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,12,11,11,0,1.0,0.9166666666666666,0.9158264724451317,1.0919099087954254
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,41,27,26,1,0.9629629629629629,0.6341463414634146,0.9556762911972706,1.0076246233508248
v4:all_lock,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,21,5,5,0,1.0,0.23809523809523808,0.9845365901703931,1.0157062825130052
v4:L5_switching,per_task,libero_goal,libero_goal/open_the_middle_drawer_of_the_cabinet,400,0,0,0,0,,,,
v4:L5_switching,per_task,libero_goal,libero_goal/open_the_top_drawer_and_put_the_bowl_inside,400,51,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_goal,libero_goal/push_the_plate_to_the_front_of_the_stove,400,1,1,0,1,0.0,0.0,0.5608465608465608,0.0
v4:L5_switching,per_task,libero_goal,libero_goal/put_the_bowl_on_the_plate,400,18,3,3,0,1.0,0.16666666666666666,0.4274118418053961,2.339663767330311
v4:L5_switching,per_task,libero_goal,libero_goal/put_the_bowl_on_the_stove,400,9,5,5,0,1.0,0.5555555555555556,0.9798452658265742,1.0205693030076783
v4:L5_switching,per_task,libero_goal,libero_goal/put_the_bowl_on_top_of_the_cabinet,400,16,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_goal,libero_goal/put_the_cream_cheese_in_the_bowl,400,9,6,5,1,0.8333333333333334,0.5555555555555556,0.19495018471675873,4.274596274653832
v4:L5_switching,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_the_rack,400,1,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_goal,libero_goal/put_the_wine_bottle_on_top_of_the_cabinet,400,1,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_goal,libero_goal/turn_on_the_stove,400,0,0,0,0,,,,
v4:L5_switching,per_task,libero_long,libero_long/KITCHEN_SCENE3_turn_on_the_stove_and_put_the_moka_pot_on_it,400,4,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/KITCHEN_SCENE4_put_the_black_bowl_in_the_bottom_drawer_of_the_cabinet_and_close_it,400,1,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/KITCHEN_SCENE6_put_the_yellow_and_white_mug_in_the_microwave_and_close_it,400,1,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/KITCHEN_SCENE8_put_both_moka_pots_on_the_stove,400,151,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/LIVING_ROOM_SCENE1_put_both_the_alphabet_soup_and_the_cream_cheese_box_in_the_basket,400,30,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_alphabet_soup_and_the_tomato_sauce_in_the_basket,400,10,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/LIVING_ROOM_SCENE2_put_both_the_cream_cheese_box_and_the_butter_in_the_basket,400,4,3,1,2,0.3333333333333333,0.25,0.5860572794507467,0.568772618344974
v4:L5_switching,per_task,libero_long,libero_long/LIVING_ROOM_SCENE5_put_the_white_mug_on_the_left_plate_and_put_the_yellow_and_white_mug_on_the_right_plate,400,20,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_long,libero_long/LIVING_ROOM_SCENE6_put_the_white_mug_on_the_plate_and_put_the_chocolate_pudding_to_the_right_of_the_plate,400,47,4,4,0,1.0,0.0851063829787234,0.6844775258526381,1.4609683477252562
v4:L5_switching,per_task,libero_long,libero_long/STUDY_SCENE1_pick_up_the_book_and_place_it_in_the_back_compartment_of_the_caddy,400,6,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_alphabet_soup_and_place_it_in_the_basket,400,3,1,1,0,1.0,0.3333333333333333,0.1,10.0
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_bbq_sauce_and_place_it_in_the_basket,400,10,5,4,1,0.8,0.4,0.6516112851068164,1.2277258210297244
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_butter_and_place_it_in_the_basket,400,0,0,0,0,,,,
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_cream_cheese_and_place_it_in_the_basket,400,7,5,5,0,1.0,0.7142857142857143,0.5260769685541262,1.900862534903224
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_ketchup_and_place_it_in_the_basket,400,1,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_milk_and_place_it_in_the_basket,400,7,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_orange_juice_and_place_it_in_the_basket,400,5,2,2,0,1.0,0.4,0.9039832285115303,1.1062152133580705
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_salad_dressing_and_place_it_in_the_basket,400,4,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_object,libero_object/pick_up_the_tomato_sauce_and_place_it_in_the_basket,400,7,2,2,0,1.0,0.2857142857142857,0.5743307385608506,1.7411570247933883
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,400,1,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,400,3,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,400,14,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,400,3,1,1,0,1.0,0.3333333333333333,0.8536585365853658,1.1714285714285715
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,400,24,1,1,0,1.0,0.041666666666666664,0.8536585365853658,1.1714285714285715
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,400,8,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,400,13,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,400,12,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,400,41,0,0,0,,0.0,,
v4:L5_switching,per_task,libero_spatial,libero_spatial/pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,400,21,0,0,0,,0.0,,
